group_id,family,mode,seed,run_id,source_feature_file,window_count,window_starts_s,attack_activation_s
blackhole:attack:123456,blackhole,attack,123456,BH_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:attack:234567,blackhole,attack,234567,BH_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:attack:345678,blackhole,attack,345678,BH_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:attack:456789,blackhole,attack,456789,BH_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:attack:567890,blackhole,attack,567890,BH_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:control:123456,blackhole,control,123456,BH_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:control:234567,blackhole,control,234567,BH_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:control:345678,blackhole,control,345678,BH_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:control:456789,blackhole,control,456789,BH_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
blackhole:control:567890,blackhole,control,567890,BH_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:attack:123456,dio_suppression,attack,123456,DIO_SUPPRESSION_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:attack:234567,dio_suppression,attack,234567,DIO_SUPPRESSION_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:attack:345678,dio_suppression,attack,345678,DIO_SUPPRESSION_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:attack:456789,dio_suppression,attack,456789,DIO_SUPPRESSION_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:attack:567890,dio_suppression,attack,567890,DIO_SUPPRESSION_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:control:123456,dio_suppression,control,123456,DIO_SUPPRESSION_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:control:234567,dio_suppression,control,234567,DIO_SUPPRESSION_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:control:345678,dio_suppression,control,345678,DIO_SUPPRESSION_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:control:456789,dio_suppression,control,456789,DIO_SUPPRESSION_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dio_suppression:control:567890,dio_suppression,control,567890,DIO_SUPPRESSION_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:attack:123456,dis_flood,attack,123456,DIS_FLOOD_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:attack:234567,dis_flood,attack,234567,DIS_FLOOD_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:attack:345678,dis_flood,attack,345678,DIS_FLOOD_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:attack:456789,dis_flood,attack,456789,DIS_FLOOD_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:attack:567890,dis_flood,attack,567890,DIS_FLOOD_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:control:123456,dis_flood,control,123456,DIS_FLOOD_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:control:234567,dis_flood,control,234567,DIS_FLOOD_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:control:345678,dis_flood,control,345678,DIS_FLOOD_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:control:456789,dis_flood,control,456789,DIS_FLOOD_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
dis_flood:control:567890,dis_flood,control,567890,DIS_FLOOD_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:attack:123456,grayhole,attack,123456,GRAYHOLE_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:attack:234567,grayhole,attack,234567,GRAYHOLE_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:attack:345678,grayhole,attack,345678,GRAYHOLE_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:attack:456789,grayhole,attack,456789,GRAYHOLE_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:attack:567890,grayhole,attack,567890,GRAYHOLE_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:control:123456,grayhole,control,123456,GRAYHOLE_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:control:234567,grayhole,control,234567,GRAYHOLE_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:control:345678,grayhole,control,345678,GRAYHOLE_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:control:456789,grayhole,control,456789,GRAYHOLE_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
grayhole:control:567890,grayhole,control,567890,GRAYHOLE_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:attack:123456,increase_rank,attack,123456,INCREASE_RANK_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:attack:234567,increase_rank,attack,234567,INCREASE_RANK_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:attack:345678,increase_rank,attack,345678,INCREASE_RANK_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:attack:456789,increase_rank,attack,456789,INCREASE_RANK_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:attack:567890,increase_rank,attack,567890,INCREASE_RANK_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:control:123456,increase_rank,control,123456,INCREASE_RANK_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:control:234567,increase_rank,control,234567,INCREASE_RANK_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:control:345678,increase_rank,control,345678,INCREASE_RANK_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:control:456789,increase_rank,control,456789,INCREASE_RANK_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
increase_rank:control:567890,increase_rank,control,567890,INCREASE_RANK_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:attack:123456,sinkhole,attack,123456,SH_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:attack:234567,sinkhole,attack,234567,SH_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:attack:345678,sinkhole,attack,345678,SH_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:attack:456789,sinkhole,attack,456789,SH_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:attack:567890,sinkhole,attack,567890,SH_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:control:123456,sinkhole,control,123456,SH_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:control:234567,sinkhole,control,234567,SH_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:control:345678,sinkhole,control,345678,SH_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:control:456789,sinkhole,control,456789,SH_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sinkhole:control:567890,sinkhole,control,567890,SH_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/bh_sh_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:attack:123456,sybil,attack,123456,SYBIL_ATTACK_N16_SEED123456,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:attack:234567,sybil,attack,234567,SYBIL_ATTACK_N16_SEED234567,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:attack:345678,sybil,attack,345678,SYBIL_ATTACK_N16_SEED345678,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:attack:456789,sybil,attack,456789,SYBIL_ATTACK_N16_SEED456789,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:attack:567890,sybil,attack,567890,SYBIL_ATTACK_N16_SEED567890,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:control:123456,sybil,control,123456,SYBIL_CONTROL_N16_SEED123456,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:control:234567,sybil,control,234567,SYBIL_CONTROL_N16_SEED234567,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:control:345678,sybil,control,345678,SYBIL_CONTROL_N16_SEED345678,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:control:456789,sybil,control,456789,SYBIL_CONTROL_N16_SEED456789,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
sybil:control:567890,sybil,control,567890,SYBIL_CONTROL_N16_SEED567890,experiments/sybil_attack_v1/features/routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:attack:123456,wormhole,attack,123456,WORMHOLE_ATTACK_N17_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:attack:234567,wormhole,attack,234567,WORMHOLE_ATTACK_N17_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:attack:345678,wormhole,attack,345678,WORMHOLE_ATTACK_N17_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:attack:456789,wormhole,attack,456789,WORMHOLE_ATTACK_N17_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:attack:567890,wormhole,attack,567890,WORMHOLE_ATTACK_N17_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:control:123456,wormhole,control,123456,WORMHOLE_CONTROL_N17_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:control:234567,wormhole,control,234567,WORMHOLE_CONTROL_N17_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:control:345678,wormhole,control,345678,WORMHOLE_CONTROL_N17_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:control:456789,wormhole,control,456789,WORMHOLE_CONTROL_N17_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
wormhole:control:567890,wormhole,control,567890,WORMHOLE_CONTROL_N17_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:attack:123456,worst_parent,attack,123456,WORST_PARENT_ATTACK_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:attack:234567,worst_parent,attack,234567,WORST_PARENT_ATTACK_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:attack:345678,worst_parent,attack,345678,WORST_PARENT_ATTACK_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:attack:456789,worst_parent,attack,456789,WORST_PARENT_ATTACK_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:attack:567890,worst_parent,attack,567890,WORST_PARENT_ATTACK_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:control:123456,worst_parent,control,123456,WORST_PARENT_CONTROL_N16_SEED123456,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:control:234567,worst_parent,control,234567,WORST_PARENT_CONTROL_N16_SEED234567,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:control:345678,worst_parent,control,345678,WORST_PARENT_CONTROL_N16_SEED345678,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:control:456789,worst_parent,control,456789,WORST_PARENT_CONTROL_N16_SEED456789,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
worst_parent:control:567890,worst_parent,control,567890,WORST_PARENT_CONTROL_N16_SEED567890,experiments/cross_attack_drift_v1/features/additional_routing_window_features.csv,9,0;60;120;180;240;300;360;420;480,240
