feature,sinkhole_attack_post_mean,sinkhole_control_post_mean,difference
dio_rx_count,62.2,56.52,5.68
dio_tx_count,18.56,16.36,2.2
dis_rx_count,0.0,0.0,0.0
dis_tx_count,0.0,0.0,0.0
dao_rx_count,0.0,0.0,0.0
dao_tx_count,0.0,0.0,0.0
parent_switch_count,0.0,0.0,0.0
parent_switch_to_root_count,0.0,0.0,0.0
parent_switch_to_nonroot_count,0.0,0.0,0.0
unique_parent_targets,0.0,0.0,0.0
significant_rank_update_count,0.0,0.0,0.0
unique_dio_senders,12.88,12.52,0.36
unique_dio_receivers,13.2,12.88,0.32
dio_rx_rank_min,158.72,302.08,-143.36
dio_rx_rank_mean,407.5205,515.4573,-107.9369
dio_rx_rank_max,637.8,651.96,-14.16
dio_rx_rank_range,479.08,349.88,129.2
dio_rx_nonroot_count,61.96,56.28,5.68
dio_rx_nonroot_rank_min,168.96,348.16,-179.2
dio_rx_nonroot_rank_mean,408.8497,517.4242,-108.5745
dio_rx_nonroot_rank_max,637.8,651.96,-14.16
dio_rx_nonroot_rank_range,468.84,303.8,165.04
dio_rx_low_rank_nonroot_count,8.0,0.0,8.0
unique_low_rank_nonroot_senders,0.68,0.0,0.68
dio_tx_rank_mean,408.2376,509.8526,-101.615
state_nonroot_rank_min,128.0,256.0,-128.0
state_nonroot_rank_mean,449.0,503.8567,-54.8567
state_nonroot_rank_max,662.68,660.16,2.52
state_nonroot_rank_range,534.68,404.16,130.52
state_low_rank_nonroot_pairs,5.0,0.0,5.0
state_low_rank_nonroot_senders,1.0,0.0,1.0
state_receivers_exposed_low_rank_nonroot,5.0,0.0,5.0
own_state_sample_count,16.0,16.0,0.0
own_rank_min,128.0,128.0,0.0
own_rank_mean,421.4225,476.2775,-54.855
own_rank_max,642.84,653.32,-10.48
own_rank_range,514.84,525.32,-10.48
own_neighbor_count_mean,8.125,8.125,0.0
own_neighbor_count_max,13.0,13.0,0.0
topology_edge_count,15.0,15.0,0.0
topology_unique_parents,6.8,6.8,0.0
topology_max_parent_fanout,4.0,4.0,0.0
topology_root_direct_children,1.0,1.0,0.0
topology_mean_depth,2.8667,2.8667,0.0
topology_max_depth,4.0,4.0,0.0
