model,windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn,family,mode,seed
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,123456
online_gaussian,9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,sinkhole,attack,123456
ddm_reset_gaussian,9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,sinkhole,attack,123456
adaptive_window_reset_gaussian,9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,sinkhole,attack,123456
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,123456
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,123456
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,123456
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,123456
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,234567
online_gaussian,9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,sinkhole,attack,234567
ddm_reset_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sinkhole,attack,234567
adaptive_window_reset_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sinkhole,attack,234567
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,234567
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,234567
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,234567
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,234567
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,345678
online_gaussian,9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,sinkhole,attack,345678
ddm_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,345678
adaptive_window_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,345678
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,345678
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,345678
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,345678
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,345678
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,456789
online_gaussian,9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,sinkhole,attack,456789
ddm_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,456789
adaptive_window_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,456789
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,456789
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,456789
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,456789
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,456789
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sinkhole,attack,567890
online_gaussian,9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,sinkhole,attack,567890
ddm_reset_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sinkhole,attack,567890
adaptive_window_reset_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sinkhole,attack,567890
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,567890
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,567890
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,567890
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sinkhole,control,567890
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,123456
online_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sybil,attack,123456
ddm_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,123456
adaptive_window_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,123456
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,123456
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,123456
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,123456
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,123456
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,234567
online_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sybil,attack,234567
ddm_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,234567
adaptive_window_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,234567
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,234567
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,234567
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,234567
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,234567
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,345678
online_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sybil,attack,345678
ddm_reset_gaussian,9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,sybil,attack,345678
adaptive_window_reset_gaussian,9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,sybil,attack,345678
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,345678
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,345678
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,345678
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,345678
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,456789
online_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sybil,attack,456789
ddm_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,456789
adaptive_window_reset_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,456789
static_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,456789
online_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,456789
ddm_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,456789
adaptive_window_reset_gaussian,9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,sybil,control,456789
static_gaussian,9,0.4444,0.0,0.0,0.0,0.0,0,4,0,5,sybil,attack,567890
online_gaussian,9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,sybil,attack,567890
