windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn,model,family,mode,seed
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb,sinkhole,attack,123456
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb_adwin_reset,sinkhole,attack,123456
9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,river_hoeffding_tree,sinkhole,attack,123456
9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,river_hoeffding_tree_adwin_reset,sinkhole,attack,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb,sinkhole,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb_adwin_reset,sinkhole,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sinkhole,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sinkhole,control,123456
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb,sinkhole,attack,234567
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb_adwin_reset,sinkhole,attack,234567
9,1.0,1.0,1.0,1.0,0.0,5,4,0,0,river_hoeffding_tree,sinkhole,attack,234567
9,1.0,1.0,1.0,1.0,0.0,5,4,0,0,river_hoeffding_tree_adwin_reset,sinkhole,attack,234567
9,0.7778,0.0,0.0,0.0,0.2222,0,7,2,0,river_gaussian_nb,sinkhole,control,234567
9,0.7778,0.0,0.0,0.0,0.2222,0,7,2,0,river_gaussian_nb_adwin_reset,sinkhole,control,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sinkhole,control,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sinkhole,control,234567
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb,sinkhole,attack,345678
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb_adwin_reset,sinkhole,attack,345678
9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,river_hoeffding_tree,sinkhole,attack,345678
9,0.6667,1.0,0.4,0.5714,0.0,2,4,0,3,river_hoeffding_tree_adwin_reset,sinkhole,attack,345678
9,0.7778,0.0,0.0,0.0,0.2222,0,7,2,0,river_gaussian_nb,sinkhole,control,345678
9,0.7778,0.0,0.0,0.0,0.2222,0,7,2,0,river_gaussian_nb_adwin_reset,sinkhole,control,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sinkhole,control,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sinkhole,control,345678
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb,sinkhole,attack,456789
9,0.7778,1.0,0.6,0.75,0.0,3,4,0,2,river_gaussian_nb_adwin_reset,sinkhole,attack,456789
9,0.8889,1.0,0.8,0.8889,0.0,4,4,0,1,river_hoeffding_tree,sinkhole,attack,456789
9,0.8889,1.0,0.8,0.8889,0.0,4,4,0,1,river_hoeffding_tree_adwin_reset,sinkhole,attack,456789
9,0.6667,0.0,0.0,0.0,0.3333,0,6,3,0,river_gaussian_nb,sinkhole,control,456789
9,0.6667,0.0,0.0,0.0,0.3333,0,6,3,0,river_gaussian_nb_adwin_reset,sinkhole,control,456789
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sinkhole,control,456789
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sinkhole,control,456789
9,0.6667,0.75,0.6,0.6667,0.25,3,3,1,2,river_gaussian_nb,sinkhole,attack,567890
9,0.6667,0.75,0.6,0.6667,0.25,3,3,1,2,river_gaussian_nb_adwin_reset,sinkhole,attack,567890
9,1.0,1.0,1.0,1.0,0.0,5,4,0,0,river_hoeffding_tree,sinkhole,attack,567890
9,1.0,1.0,1.0,1.0,0.0,5,4,0,0,river_hoeffding_tree_adwin_reset,sinkhole,attack,567890
9,0.5556,0.0,0.0,0.0,0.4444,0,5,4,0,river_gaussian_nb,sinkhole,control,567890
9,0.5556,0.0,0.0,0.0,0.4444,0,5,4,0,river_gaussian_nb_adwin_reset,sinkhole,control,567890
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sinkhole,control,567890
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sinkhole,control,567890
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb,sybil,attack,123456
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb_adwin_reset,sybil,attack,123456
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree,sybil,attack,123456
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree_adwin_reset,sybil,attack,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb,sybil,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb_adwin_reset,sybil,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sybil,control,123456
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sybil,control,123456
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb,sybil,attack,234567
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb_adwin_reset,sybil,attack,234567
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree,sybil,attack,234567
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree_adwin_reset,sybil,attack,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb,sybil,control,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb_adwin_reset,sybil,control,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sybil,control,234567
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sybil,control,234567
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb,sybil,attack,345678
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb_adwin_reset,sybil,attack,345678
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree,sybil,attack,345678
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_hoeffding_tree_adwin_reset,sybil,attack,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb,sybil,control,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb_adwin_reset,sybil,control,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree,sybil,control,345678
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_hoeffding_tree_adwin_reset,sybil,control,345678
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb,sybil,attack,456789
9,0.5556,1.0,0.2,0.3333,0.0,1,4,0,4,river_gaussian_nb_adwin_reset,sybil,attack,456789
9,0.4444,0.5,0.2,0.2857,0.25,1,3,1,4,river_hoeffding_tree,sybil,attack,456789
9,0.4444,0.5,0.2,0.2857,0.25,1,3,1,4,river_hoeffding_tree_adwin_reset,sybil,attack,456789
9,1.0,0.0,0.0,0.0,0.0,0,9,0,0,river_gaussian_nb,sybil,control,456789
