model,family,mode,seed,window_start_s,window_label,prediction,adwin_alarm,model_reset,label_delay_windows,feature_count
river_gaussian_nb,sinkhole,attack,123456,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,240,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,300,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,360,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,420,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,123456,480,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,240,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,300,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,360,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,420,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,123456,480,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,240,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,300,1,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,360,1,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,420,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,123456,480,1,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,123456,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,123456,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,123456,120,0,0,0,0,1,57
