run_name,seed,rate_profile,mode,spoofed_dio_send_markers,radio_transmissions_total,radio_transmissions_post_activation,node16_transmissions_post_activation,interfered_transmissions_post_activation
SYBIL_LOW_RATE_ATTACK_N16_SEED123456,123456,low,attack,29,9011,5244,1717,4396
SYBIL_HIGH_RATE_ATTACK_N16_SEED123456,123456,high,attack,299,9295,5528,1990,4685
SYBIL_LOW_RATE_CONTROL_N16_SEED123456,123456,control,control,0,8957,5190,1685,4350
SYBIL_LOW_RATE_ATTACK_N16_SEED234567,234567,low,attack,29,9020,5233,1714,4391
SYBIL_HIGH_RATE_ATTACK_N16_SEED234567,234567,high,attack,299,9326,5539,1989,4695
SYBIL_LOW_RATE_CONTROL_N16_SEED234567,234567,control,control,0,9006,5219,1687,4376
SYBIL_LOW_RATE_ATTACK_N16_SEED345678,345678,low,attack,29,9030,5256,1717,4411
SYBIL_HIGH_RATE_ATTACK_N16_SEED345678,345678,high,attack,299,9292,5518,1988,4671
SYBIL_LOW_RATE_CONTROL_N16_SEED345678,345678,control,control,0,9025,5251,1699,4401
SYBIL_LOW_RATE_ATTACK_N16_SEED456789,456789,low,attack,29,8947,5195,1707,4356
SYBIL_HIGH_RATE_ATTACK_N16_SEED456789,456789,high,attack,299,9266,5514,1986,4672
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,0,8921,5169,1676,4333
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,29,9092,5337,1736,4482
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,299,9324,5569,1997,4727
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,0,9013,5258,1699,4407
