condition,family,model,feature_set,adaptation_seeds,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_f2,mean_fpr
ATTACKER_RELOCATED,blackhole,cart,coarse,0,1,0.9,0.7353,1.0,0.8475,0.9328,0.1385
ATTACKER_RELOCATED,blackhole,cart,coarse,1,5,0.9806,0.9481,1.0,0.9702,0.9869,0.0269
ATTACKER_RELOCATED,blackhole,cart,coarse,2,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,blackhole,cart,coarse,3,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,0,1,0.3889,0.3125,1.0,0.4762,0.6944,0.8462
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,1,5,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,sinkhole,cart,coarse,0,1,0.7556,0.5714,0.48,0.5217,0.4959,0.1385
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,5,0.7167,0.4119,0.28,0.3165,0.2925,0.1154
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,10,0.7352,0.4768,0.3533,0.3977,0.3691,0.1179
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,10,0.7305,0.486,0.33,0.3831,0.3486,0.1154
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,0,1,0.4333,0.3289,1.0,0.495,0.7102,0.7846
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,5,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,2,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,10,1.0,1.0,1.0,1.0,1.0,0.0
ATTACKER_RELOCATED,sybil,cart,coarse,0,1,0.8556,0.7,0.84,0.7636,0.8077,0.1385
ATTACKER_RELOCATED,sybil,cart,coarse,1,5,0.9917,1.0,0.97,0.9846,0.9758,0.0
ATTACKER_RELOCATED,sybil,cart,coarse,2,10,0.9944,1.0,0.98,0.9896,0.9838,0.0
ATTACKER_RELOCATED,sybil,cart,coarse,3,10,0.9972,1.0,0.99,0.9947,0.9918,0.0
ATTACKER_RELOCATED,sybil,cart,coarse_plus_routing,0,1,0.3889,0.3125,1.0,0.4762,0.6944,0.8462
ATTACKER_RELOCATED,sybil,cart,coarse_plus_routing,1,5,0.9917,1.0,0.97,0.9846,0.9758,0.0
ATTACKER_RELOCATED,sybil,cart,coarse_plus_routing,2,10,0.9944,1.0,0.98,0.9896,0.9838,0.0
ATTACKER_RELOCATED,sybil,cart,coarse_plus_routing,3,10,0.9972,1.0,0.99,0.9947,0.9918,0.0
LOSSY_RADIO,blackhole,cart,coarse,0,1,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse,1,5,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse,2,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse,3,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse_plus_routing,0,1,0.3889,0.3125,1.0,0.4762,0.6944,0.8462
LOSSY_RADIO,blackhole,cart,coarse_plus_routing,1,5,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse_plus_routing,2,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,blackhole,cart,coarse_plus_routing,3,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,sinkhole,cart,coarse,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
LOSSY_RADIO,sinkhole,cart,coarse,1,5,0.9472,1.0,0.81,0.8776,0.8339,0.0
LOSSY_RADIO,sinkhole,cart,coarse,2,10,0.9778,1.0,0.92,0.9579,0.9347,0.0
LOSSY_RADIO,sinkhole,cart,coarse,3,10,0.9778,1.0,0.92,0.9573,0.9344,0.0
LOSSY_RADIO,sinkhole,cart,coarse_plus_routing,0,1,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,sinkhole,cart,coarse_plus_routing,1,5,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,sinkhole,cart,coarse_plus_routing,2,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,sinkhole,cart,coarse_plus_routing,3,10,1.0,1.0,1.0,1.0,1.0,0.0
LOSSY_RADIO,sybil,cart,coarse,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
LOSSY_RADIO,sybil,cart,coarse,1,5,0.9416,0.8763,0.93,0.8978,0.9159,0.0539
LOSSY_RADIO,sybil,cart,coarse,2,10,0.9389,0.8737,0.9333,0.8942,0.9153,0.059
LOSSY_RADIO,sybil,cart,coarse,3,10,0.9389,0.9077,0.9,0.8909,0.8933,0.0462
LOSSY_RADIO,sybil,cart,coarse_plus_routing,0,1,0.3889,0.3125,1.0,0.4762,0.6944,0.8462
LOSSY_RADIO,sybil,cart,coarse_plus_routing,1,5,0.9111,0.7948,0.93,0.8562,0.8987,0.0962
LOSSY_RADIO,sybil,cart,coarse_plus_routing,2,10,0.9407,0.8498,0.96,0.9,0.9346,0.0667
LOSSY_RADIO,sybil,cart,coarse_plus_routing,3,10,0.9611,0.9077,0.98,0.9367,0.9607,0.0462
