condition,family,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,model,feature_set,train_windows,test_windows
ATTACKER_RELOCATED,blackhole,50,0.82,0.7353,1.0,0.8475,0.9328,0.36,25,16,9,0,cart,coarse,180,50
ATTACKER_RELOCATED,blackhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,cart,coarse_plus_routing,180,50
ATTACKER_RELOCATED,blackhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
ATTACKER_RELOCATED,blackhole,50,0.5,0,0.0,0,0,0.0,0,25,0,25,gaussian,coarse_plus_routing,180,50
ATTACKER_RELOCATED,sinkhole,50,0.56,0.5714,0.48,0.5217,0.4959,0.36,12,16,9,13,cart,coarse,180,50
ATTACKER_RELOCATED,sinkhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,cart,coarse_plus_routing,180,50
ATTACKER_RELOCATED,sinkhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
ATTACKER_RELOCATED,sinkhole,50,1.0,1.0,1.0,1.0,1.0,0.0,25,25,0,0,gaussian,coarse_plus_routing,180,50
ATTACKER_RELOCATED,sybil,50,0.74,0.7,0.84,0.7636,0.8077,0.36,21,16,9,4,cart,coarse,180,50
ATTACKER_RELOCATED,sybil,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,cart,coarse_plus_routing,180,50
ATTACKER_RELOCATED,sybil,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
ATTACKER_RELOCATED,sybil,50,0.5,0,0.0,0,0,0.0,0,25,0,25,gaussian,coarse_plus_routing,180,50
LOSSY_RADIO,blackhole,50,1.0,1.0,1.0,1.0,1.0,0.0,25,25,0,0,cart,coarse,180,50
LOSSY_RADIO,blackhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,cart,coarse_plus_routing,180,50
LOSSY_RADIO,blackhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
LOSSY_RADIO,blackhole,50,0.5,0,0.0,0,0,0.0,0,25,0,25,gaussian,coarse_plus_routing,180,50
LOSSY_RADIO,sinkhole,50,0.5,0,0.0,0,0,0.0,0,25,0,25,cart,coarse,180,50
LOSSY_RADIO,sinkhole,50,1.0,1.0,1.0,1.0,1.0,0.0,25,25,0,0,cart,coarse_plus_routing,180,50
LOSSY_RADIO,sinkhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
LOSSY_RADIO,sinkhole,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse_plus_routing,180,50
LOSSY_RADIO,sybil,50,0.5,0,0.0,0,0,0.0,0,25,0,25,cart,coarse,180,50
LOSSY_RADIO,sybil,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,cart,coarse_plus_routing,180,50
LOSSY_RADIO,sybil,50,0.5,0.5,1.0,0.6667,0.8333,1.0,25,0,25,0,gaussian,coarse,180,50
LOSSY_RADIO,sybil,50,0.5,0,0.0,0,0,0.0,0,25,0,25,gaussian,coarse_plus_routing,180,50
