target_family,adaptation_seed_count,mean_held_out_f1,source_families_averaged
blackhole,0,0.184525,8
blackhole,1,1.000000,8
blackhole,2,0.961963,8
blackhole,3,0.993425,8
dio_suppression,0,0.104400,8
dio_suppression,1,0.154787,8
dio_suppression,2,0.339200,8
dio_suppression,3,0.287737,8
dis_flood,0,0.293312,8
dis_flood,1,1.000000,8
dis_flood,2,0.992188,8
dis_flood,3,0.983700,8
grayhole,0,0.161025,8
grayhole,1,0.797550,8
grayhole,2,0.915238,8
grayhole,3,0.994050,8
increase_rank,0,0.190362,8
increase_rank,1,0.683188,8
increase_rank,2,0.737237,8
increase_rank,3,0.782050,8
sinkhole,0,0.059525,8
sinkhole,1,0.910813,8
sinkhole,2,0.974850,8
sinkhole,3,0.993425,8
sybil,0,0.218312,8
sybil,1,0.968250,8
sybil,2,0.961550,8
sybil,3,0.968750,8
wormhole,0,0.000000,8
wormhole,1,0.944450,8
wormhole,2,0.923075,8
wormhole,3,0.931825,8
worst_parent,0,0.428787,8
worst_parent,1,0.973037,8
worst_parent,2,0.992188,8
worst_parent,3,0.977750,8
