model,feature_set,adaptation_sinkhole_seeds,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_f2,mean_fpr
gaussian,coarse,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
gaussian,coarse,1,5,0.7222,0.0,0.0,0.0,0.0,0.0
gaussian,coarse,2,10,0.537,0.354,0.7867,0.485,0.6277,0.559
gaussian,coarse,3,10,0.3889,0.3125,1.0,0.4762,0.6944,0.8462
gaussian,coarse_plus_routing,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
gaussian,coarse_plus_routing,1,5,0.5,0.3571,1.0,0.5263,0.7353,0.6923
gaussian,coarse_plus_routing,2,10,0.5,0.3571,1.0,0.5263,0.7353,0.6923
gaussian,coarse_plus_routing,3,10,0.5,0.3571,1.0,0.5263,0.7353,0.6923
cart,coarse,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
cart,coarse,1,5,0.725,0.2,0.01,0.019,0.0123,0.0
cart,coarse,2,10,0.737,0.3667,0.0733,0.1162,0.0859,0.0077
cart,coarse,3,10,0.7222,0.3083,0.06,0.0978,0.0709,0.0231
cart,coarse_plus_routing,0,1,0.7222,0.0,0.0,0.0,0.0,0.0
cart,coarse_plus_routing,1,5,0.925,1.0,0.73,0.8129,0.7574,0.0
cart,coarse_plus_routing,2,10,0.9648,1.0,0.8733,0.9087,0.8857,0.0
cart,coarse_plus_routing,3,10,0.9861,1.0,0.95,0.9731,0.9588,0.0
