run_id,family,mode,seed,window_start_s,window_end_s,rank_state_score,reference_centre,cusum,decision_limit,alarm,evaluation_window_label
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,0,60,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,60,120,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,120,180,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,180,240,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,240,300,11.0,0.0,11.0,0.5,1,1
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,300,360,11.0,0.0,22.0,0.5,1,1
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,360,420,11.0,0.0,33.0,0.5,1,1
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,420,480,11.0,0.0,44.0,0.5,1,1
SH_ATTACK_N16_SEED123456,sinkhole,attack,123456,480,540,11.0,0.0,55.0,0.5,1,1
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,0,60,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,60,120,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,120,180,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,180,240,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,240,300,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,300,360,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,360,420,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,420,480,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED123456,sinkhole,control,123456,480,540,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,0,60,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,60,120,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,120,180,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,180,240,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,240,300,11.0,0.0,11.0,0.5,1,1
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,300,360,11.0,0.0,22.0,0.5,1,1
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,360,420,11.0,0.0,33.0,0.5,1,1
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,420,480,11.0,0.0,44.0,0.5,1,1
SH_ATTACK_N16_SEED234567,sinkhole,attack,234567,480,540,11.0,0.0,55.0,0.5,1,1
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,0,60,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,60,120,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,120,180,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,180,240,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,240,300,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,300,360,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,360,420,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,420,480,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED234567,sinkhole,control,234567,480,540,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,0,60,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,60,120,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,120,180,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,180,240,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,240,300,11.0,0.0,11.0,0.5,1,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,300,360,11.0,0.0,22.0,0.5,1,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,360,420,11.0,0.0,33.0,0.5,1,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,420,480,11.0,0.0,44.0,0.5,1,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,480,540,11.0,0.0,55.0,0.5,1,1
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,0,60,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,60,120,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,120,180,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,180,240,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,240,300,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,300,360,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,360,420,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,420,480,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,480,540,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,0,60,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,60,120,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,120,180,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,180,240,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,240,300,11.0,0.0,11.0,0.5,1,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,300,360,11.0,0.0,22.0,0.5,1,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,360,420,11.0,0.0,33.0,0.5,1,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,420,480,11.0,0.0,44.0,0.5,1,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,480,540,11.0,0.0,55.0,0.5,1,1
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,0,60,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,60,120,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,120,180,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,180,240,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,240,300,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,300,360,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,360,420,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,420,480,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,480,540,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,0,60,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,60,120,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,120,180,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,180,240,0.0,0.0,0.0,0.5,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,240,300,11.0,0.0,11.0,0.5,1,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,300,360,11.0,0.0,22.0,0.5,1,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,360,420,11.0,0.0,33.0,0.5,1,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,420,480,11.0,0.0,44.0,0.5,1,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,480,540,11.0,0.0,55.0,0.5,1,1
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,0,60,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,60,120,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,120,180,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,180,240,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,240,300,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,300,360,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,360,420,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,420,480,0.0,0.0,0.0,0.5,0,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,480,540,0.0,0.0,0.0,0.5,0,0
