family,mode,seed,window_start_s,window_label,prediction,action,delayed_label_available,reward,ddm_alarm,state,split,policy,algorithm
sinkhole,attack,456789,0,0,0,keep_source_model,0,0.0,0,"[0.0, 0.0, 2.0, 1.5, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,60,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 1.4333333333333333, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,120,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,180,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.4666666666666667, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,240,1,0,keep_source_model,1,0.25,0,"[1.0, 0.2, 0.8, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,300,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.5666666666666667, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,360,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.7, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,420,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.5666666666666667, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,456789,480,1,0,keep_source_model,1,-6.0,1,"[1.0, 0.2, 0.6333333333333333, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,0,0,0,keep_source_model,0,0.0,0,"[0.0, 0.0, 2.0, 1.5, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,60,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 1.3666666666666667, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,120,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,180,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.5333333333333333, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,240,1,0,keep_source_model,1,0.25,0,"[1.0, 0.2, 1.0, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,300,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.3333333333333333, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,360,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.36666666666666664, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,420,1,0,keep_source_model,1,-3.0,1,"[1.0, 0.2, 0.5333333333333333, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,attack,567890,480,1,0,keep_source_model,1,-6.0,1,"[1.0, 0.2, 0.6, 0.0, 1.0, 1.0]",held_out_test,static_source,dqn
sinkhole,control,456789,0,0,0,keep_source_model,0,0.0,0,"[0.0, 0.0, 2.0, 1.5, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,control,456789,60,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 1.4333333333333333, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,control,456789,120,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,control,456789,180,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.4666666666666667, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,control,456789,240,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.6333333333333333, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
sinkhole,control,456789,300,0,0,keep_source_model,1,0.25,0,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",held_out_test,static_source,dqn
