run_name,seed,rate_profile,mode,test_ok,spoofed_dio_sends,virtual_identity_observations,distinct_virtual_identities,identity_churn_events,valid
SYBIL_LOW_RATE_ATTACK_N16_SEED123456,123456,low,attack,1,29,30,16,29,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED123456,123456,high,attack,1,299,300,16,299,1
SYBIL_LOW_RATE_CONTROL_N16_SEED123456,123456,control,control,1,0,0,0,0,1
SYBIL_LOW_RATE_ATTACK_N16_SEED234567,234567,low,attack,1,29,31,16,30,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED234567,234567,high,attack,1,299,301,16,300,1
SYBIL_LOW_RATE_CONTROL_N16_SEED234567,234567,control,control,1,0,0,0,0,1
SYBIL_LOW_RATE_ATTACK_N16_SEED345678,345678,low,attack,1,29,30,16,29,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED345678,345678,high,attack,1,299,300,16,299,1
SYBIL_LOW_RATE_CONTROL_N16_SEED345678,345678,control,control,1,0,0,0,0,1
SYBIL_LOW_RATE_ATTACK_N16_SEED456789,456789,low,attack,1,29,30,16,29,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED456789,456789,high,attack,1,299,300,16,299,1
SYBIL_LOW_RATE_CONTROL_N16_SEED456789,456789,control,control,1,0,0,0,0,1
SYBIL_LOW_RATE_ATTACK_N16_SEED567890,567890,low,attack,1,29,31,16,30,1
SYBIL_HIGH_RATE_ATTACK_N16_SEED567890,567890,high,attack,1,299,301,16,300,1
SYBIL_LOW_RATE_CONTROL_N16_SEED567890,567890,control,control,1,0,0,0,0,1
