run_id,mode,seed,test_ok,sinkhole_rank_events,low_rank_nonroot_dio_events,parent_switches,app_rx,app_missed,radio_tx,defence_logged_avoidance_count
SH_ATTACK_N16_SEED123456,attack,123456,1,17,44,0,406,0,5254,0
SH_ATTACK_N16_SEED234567,attack,234567,1,7,35,0,420,0,5218,0
SH_ATTACK_N16_SEED345678,attack,345678,1,12,40,0,427,0,5248,0
SH_ATTACK_N16_SEED456789,attack,456789,1,18,46,0,420,0,5226,0
SH_ATTACK_N16_SEED567890,attack,567890,1,7,35,0,410,0,5267,0
SH_CONTROL_N16_SEED123456,control,123456,1,0,0,0,408,0,5190,0
SH_CONTROL_N16_SEED234567,control,234567,1,0,0,0,420,0,5219,0
SH_CONTROL_N16_SEED345678,control,345678,1,0,0,0,430,0,5251,0
SH_CONTROL_N16_SEED456789,control,456789,1,0,0,0,409,0,5169,0
SH_CONTROL_N16_SEED567890,control,567890,1,0,0,0,420,0,5258,0
SH_DEFENCE_N16_SEED123456,defence,123456,1,13,57,415,85,19,30350,12955
SH_DEFENCE_N16_SEED234567,defence,234567,1,32,110,477,75,19,31450,14122
SH_DEFENCE_N16_SEED345678,defence,345678,1,19,58,531,108,43,27929,3658
SH_DEFENCE_N16_SEED456789,defence,456789,1,29,53,1459,99,31,48290,3790
SH_DEFENCE_N16_SEED567890,defence,567890,1,13,49,527,70,32,37081,13986
