model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,blackhole,dio_suppression,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,dio_suppression,1,1,0.7222,0.5,0.05,0.0909,0.0192
cart,blackhole,dio_suppression,2,1,0.7963,0.5769,1.0,0.7317,0.2821
cart,blackhole,dio_suppression,3,1,0.75,0.5263,1.0,0.6897,0.3462
cart,blackhole,dis_flood,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,grayhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,grayhole,1,1,0.9306,1.0,0.75,0.8571,0.0
cart,blackhole,grayhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,blackhole,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,increase_rank,0,1,0.8556,1.0,0.48,0.6486,0.0
cart,blackhole,increase_rank,1,1,0.8333,0.6818,0.75,0.7143,0.1346
cart,blackhole,increase_rank,2,1,0.8148,0.6316,0.8,0.7059,0.1795
cart,blackhole,increase_rank,3,1,0.8056,0.6154,0.8,0.6957,0.1923
cart,blackhole,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,sinkhole,1,1,0.8333,1.0,0.4,0.5714,0.0
cart,blackhole,sinkhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,blackhole,sinkhole,3,1,0.9722,1.0,0.9,0.9474,0.0
cart,blackhole,sybil,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,sybil,2,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,blackhole,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,blackhole,wormhole,1,1,0.8889,0.875,0.7,0.7778,0.0385
cart,blackhole,wormhole,2,1,0.8519,0.8182,0.6,0.6923,0.0513
cart,blackhole,wormhole,3,1,0.8333,0.6667,0.8,0.7273,0.1538
