family,mode,post_activation_windows,mean_trust_forwarding,mean_trust_rank,mean_trust_control,mean_trust_route,mean_trust_total,penalised_windows,forwarding_alert_windows,rank_alert_windows,control_alert_windows,route_alert_windows,any_alert_windows
blackhole,control,25,0.8845,0.9258,1.0,0.94,0.9263,0,6,0,0,0,6
blackhole,attack,25,0.3377,0.9257,1.0,0.94,0.7075,0,20,0,0,0,20
dio_suppression,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
dio_suppression,attack,25,0.8785,0.9997,1.0,1.0,0.9513,0,6,0,0,0,6
dis_flood,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
dis_flood,attack,25,0.8673,0.998,0.6492,1.0,0.8763,0,6,0,25,0,25
grayhole,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
grayhole,attack,25,0.768,0.9996,1.0,1.0,0.9071,0,10,0,0,0,10
increase_rank,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
increase_rank,attack,25,0.5802,0.9641,1.0,1.0,0.8231,0,13,0,0,0,13
sinkhole,control,25,0.8845,0.9258,1.0,0.94,0.9263,0,6,0,0,0,6
sinkhole,attack,25,0.877,0.0,1.0,0.94,0.6918,3,6,25,0,0,25
sybil,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
sybil,attack,25,0.8701,0.9997,0.8,1.0,0.908,0,7,0,25,0,25
wormhole,control,25,0.8868,0.9678,1.0,1.0,0.9467,0,6,0,0,0,6
wormhole,attack,25,0.8835,0.9175,0.9991,1.0,0.9326,0,7,0,0,0,7
worst_parent,control,25,0.8845,0.9996,1.0,1.0,0.9537,0,6,0,0,0,6
worst_parent,attack,25,0.7773,0.7486,0.6848,0.55,0.7175,8,10,0,25,25,25
