relative_file_path,filename,filesystem_modified,timezone,file_size_bytes,category,description
"BH_ATTACK_N16_SEED123456.csc","BH_ATTACK_N16_SEED123456.csc","2026-08-17 13:20:22","+0100",15486,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_ATTACK_N16_SEED123456_before_timing_fix.csc.backup","BH_ATTACK_N16_SEED123456_before_timing_fix.csc.backup","2026-08-12 13:20:44","+0100",17852,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"BH_ATTACK_N16_SEED234567.csc","BH_ATTACK_N16_SEED234567.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_ATTACK_N16_SEED345678.csc","BH_ATTACK_N16_SEED345678.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_ATTACK_N16_SEED456789.csc","BH_ATTACK_N16_SEED456789.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_ATTACK_N16_SEED567890.csc","BH_ATTACK_N16_SEED567890.csc","2026-08-17 13:20:22","+0100",15487,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_COMPLETE_N16_5SEEDS.zip","BH_COMPLETE_N16_5SEEDS.zip","2026-08-12 14:35:41","+0100",805959,"ZIP evidence archive","Compressed experiment evidence archive"
"BH_CONTROL_N16_SEED123456.csc","BH_CONTROL_N16_SEED123456.csc","2026-08-17 13:20:22","+0100",15482,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_CONTROL_N16_SEED234567.csc","BH_CONTROL_N16_SEED234567.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_CONTROL_N16_SEED345678.csc","BH_CONTROL_N16_SEED345678.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_CONTROL_N16_SEED456789.csc","BH_CONTROL_N16_SEED456789.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_CONTROL_N16_SEED567890.csc","BH_CONTROL_N16_SEED567890.csc","2026-08-17 13:20:22","+0100",15483,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"BH_CONTROL_VALIDATION_N16_SEED123456.log","BH_CONTROL_VALIDATION_N16_SEED123456.log","2026-08-12 13:18:55","+0100",90586,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"BH_FINAL_CORRECTED_N16_5SEEDS.zip","BH_FINAL_CORRECTED_N16_5SEEDS.zip","2026-08-17 13:27:11","+0100",1547515,"ZIP evidence archive","Compressed experiment evidence archive"
"BH_VALIDATION_N16_SEED123456.log","BH_VALIDATION_N16_SEED123456.log","2026-08-12 12:53:16","+0100",33777,"Experimental log","Simulation, radio, validation, or console log evidence"
"D","D","2026-08-12 12:48:09","+0100",33777,"Experimental log","Simulation, radio, validation, or console log evidence"
"Makefile","Makefile","2026-07-02 14:32:40","+0100",107,"Build configuration","Build configuration used for Contiki/Cooja experiments"
"README.md","README.md","2026-07-02 14:14:00","+0100",1026,"Documentation / notes","RPL/UDP project README inherited or used with experiment setup"
"attack_dis_flood_16_motes.csc","attack_dis_flood_16_motes.csc","2026-07-02 15:39:51","+0100",13220,"Experiment configuration","DIS flooding attack code, configuration, or evidence"
"attack_dis_flood_17_motes.csc","attack_dis_flood_17_motes.csc","2026-07-02 14:43:10","+0100",12942,"Experiment configuration","DIS flooding attack code, configuration, or evidence"
"baseline_rpl_udp_16_motes.csc","baseline_rpl_udp_16_motes.csc","2026-07-02 14:26:45","+0100",10903,"Experiment configuration","Baseline RPL/UDP simulation configuration or evidence"
"blackhole 16 mote.csc","blackhole 16 mote.csc","2026-07-05 12:54:58","+0100",16602,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole control forced path 3 motes.csc","blackhole control forced path 3 motes.csc","2026-07-27 15:30:42","+0100",8548,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole debug 16 mote.csc","blackhole debug 16 mote.csc","2026-07-05 13:20:21","+0100",18285,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole final forced path 3 motes.csc","blackhole final forced path 3 motes.csc","2026-07-27 14:45:40","+0100",8548,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole forced path 3 motes.csc","blackhole forced path 3 motes.csc","2026-07-05 13:49:05","+0100",8544,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole-node.c","blackhole-node.c","2026-07-02 16:53:30","+0100",2864,"Source code","Blackhole/control experiment code, configuration, or evidence"
"blackhole-router.c","blackhole-router.c","2026-08-17 13:12:04","+0100",822,"Source code","Blackhole/control experiment code, configuration, or evidence"
"blackhole-router_before_240s_delay.c.backup","blackhole-router_before_240s_delay.c.backup","2026-08-17 13:05:33","+0100",821,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"blackhole-router_before_shared_flag_fix.c","blackhole-router_before_shared_flag_fix.c","2026-08-12 12:32:18","+0100",821,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"blackhole-router_before_timing_fix.c.backup","blackhole-router_before_timing_fix.c.backup","2026-08-12 12:32:18","+0100",824,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"blackhole_forced_16_attack.csc","blackhole_forced_16_attack.csc","2026-08-12 13:11:23","+0100",17852,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole_forced_16_attack_before_positions.csc","blackhole_forced_16_attack_before_positions.csc","2026-08-12 12:19:23","+0100",18307,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"blackhole_forced_16_control.csc","blackhole_forced_16_control.csc","2026-08-12 13:11:22","+0100",17848,"Experiment configuration","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/CONTIKI_COMMIT.txt","CONTIKI_COMMIT.txt","2026-08-17 14:39:33","+0100",41,"Version evidence","Contiki-NG source commit hash used for reproducibility"
"contiki-ng-modifications/contiki-ng-dissertation-current.patch","contiki-ng-dissertation-current.patch","2026-08-17 14:39:33","+0100",3778,"Contiki-NG modification patch","Current dissertation-related Contiki-NG diff"
"contiki-ng-modifications/current/examples/rpl-udp/Makefile","Makefile","2026-07-06 14:58:36","+0100",147,"Build configuration","Build configuration used for Contiki/Cooja experiments"
"contiki-ng-modifications/current/os/net/ipv6/uip6.c","uip6.c","2026-08-12 12:41:32","+0100",76900,"Source code","Contiki-NG IPv6 source or backup containing blackhole forwarding-hook evidence"
"contiki-ng-modifications/current/os/net/routing/rpl-lite/rpl-icmp6.c","rpl-icmp6.c","2026-08-17 14:05:55","+0100",24985,"Source code","Contiki-NG RPL ICMPv6 source or backup containing increase-rank/sinkhole evidence"
"contiki-ng-modifications/history/examples/rpl-udp/Makefile.bak-before-blackhole-node","Makefile.bak-before-blackhole-node","2026-07-06 14:34:23","+0100",115,"Build configuration","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/history/examples/rpl-udp/blackhole-client.c","blackhole-client.c","2026-07-06 14:58:27","+0100",2990,"Source code","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/history/examples/rpl-udp/blackhole-node.c","blackhole-node.c","2026-07-06 14:34:10","+0100",764,"Source code","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/history/os/net/ipv6/uip6.c.backup-before-blackhole","uip6.c.backup-before-blackhole","2026-07-02 16:52:02","+0100",76577,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/history/os/net/ipv6/uip6.c.backup-before-blackhole-debug","uip6.c.backup-before-blackhole-debug","2026-07-05 13:12:46","+0100",76848,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
"contiki-ng-modifications/history/os/net/ipv6/uip6.c.bak","uip6.c.bak","2026-07-05 13:28:59","+0100",76900,"Historical source/config backup","Contiki-NG IPv6 source or backup containing blackhole forwarding-hook evidence"
"contiki-ng-modifications/history/os/net/routing/rpl-lite/rpl-icmp6.c.before-increase-rank","rpl-icmp6.c.before-increase-rank","2026-07-27 16:16:56","+0100",23871,"Historical source/config backup","Contiki-NG RPL ICMPv6 source or backup containing increase-rank/sinkhole evidence"
