app_missed_delta,app_reporting_nodes,app_rx_delta,app_tx_delta,attacker_node16_radio_tx,binary_run_label,blackhole_attack_enabled_events,blackhole_drop_events,dao_rx_count,dao_tx_count,dio_rx_count,dio_rx_low_rank_nonroot_count,dio_rx_nonroot_count,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_range,dio_rx_rank_max,dio_rx_rank_mean,dio_rx_rank_min,dio_rx_rank_range,dio_suppression_attack_enabled_events,dio_suppression_events,dio_tx_count,dio_tx_rank_mean,dis_flood_attack_enabled_events,dis_flood_sent_events,dis_rx_count,dis_tx_count,family,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_advertised_rank_events,increase_rank_attack_enabled_events,mode,no_parent_events,nodes,own_neighbor_count_max,own_neighbor_count_mean,own_rank_max,own_rank_mean,own_rank_min,own_rank_range,own_state_sample_count,parent_found_events,parent_switch_count,parent_switch_to_nonroot_count,parent_switch_to_root_count,post_activation,radio_bytes,radio_interfered_count,radio_tx_count,root_node1_radio_tx,run_id,seed,significant_rank_update_count,sinkhole_advertised_rank_events,sinkhole_attack_enabled_events,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_nonroot_rank_max,state_nonroot_rank_mean,state_nonroot_rank_min,state_nonroot_rank_range,state_receivers_exposed_low_rank_nonroot,stream_id,stream_sequence,sybil_attack_enabled_events,sybil_sent_dio_events,sybil_spoofed_dio_events,topology_edge_count,topology_max_depth,topology_max_parent_fanout,topology_mean_depth,topology_root_direct_children,topology_unique_parents,unique_dio_receivers,unique_dio_senders,unique_low_rank_nonroot_senders,unique_parent_targets,unique_radio_senders,window_end_s,window_label,window_start_s,wormhole_attack_enabled_events,wormhole_endpoint_radio_events,worst_parent_attack_enabled_events,worst_parent_selection_events
0,0,0,0,188,1,0,0,15,30,333,0,329,65535,12238.9483,258,65277,65535,12093.4715,128,65407,0,0,96,40482.2396,0,0,51,14,blackhole,0,0,0,0,attack,15,16,5,2.4667,899,688.0667,338,561,15,15,15,14,1,0,27507,1290,623,90,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,65535,1151.112,258,65277,0,blackhole:attack:123456,1,0,0,0,0,0,0,0.0,0,0,16,16,0,5,16,60,0,0,0,0,0,0
0,0,0,0,337,1,0,0,0,0,294,0,293,811,592.1911,256,555,811,590.6122,128,683,0,0,45,577.2667,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,7.9375,820,577.1875,128,692,16,0,0,0,0,0,40249,2128,1069,171,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,697,539.7364,256,441,0,blackhole:attack:123456,2,0,0,0,15,4,4,2.8667,1,5,16,16,0,0,16,120,0,60,0,0,0,0
0,14,140,140,337,1,0,0,0,0,135,0,135,668,512.8222,256,412,668,512.8222,256,412,0,0,23,503.1304,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,692,499.9375,128,564,16,0,0,0,0,0,38768,2088,1046,172,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,693,517.4341,256,437,0,blackhole:attack:123456,3,0,0,0,15,4,4,2.8667,1,5,16,15,0,0,16,180,0,120,0,0,0,0
0,4,40,40,333,1,0,0,0,0,19,0,18,657,455.9444,256,401,657,438.6842,128,529,0,0,15,487.4,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,662,485.0,128,534,16,0,0,0,0,0,37392,2001,1029,168,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,693,516.2636,256,437,0,blackhole:attack:123456,4,0,0,0,15,4,4,2.8667,1,5,10,15,0,0,16,240,0,180,0,0,0,0
0,10,92,100,86,1,1,82,0,0,128,0,128,646,503.8672,384,262,646,503.8672,384,262,0,0,24,510.0,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,649,477.3125,128,521,16,0,0,0,0,1,13768,901,375,2,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,693,501.845,256,437,0,blackhole:attack:123456,5,0,0,0,15,4,4,2.8667,1,5,15,14,0,0,16,300,1,240,0,0,0,0
0,13,4,130,85,1,0,85,0,0,19,0,19,642,566.4737,384,258,642,566.4737,384,258,0,0,13,532.0769,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,643,473.25,128,515,16,0,0,0,0,1,12743,899,366,0,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,645,500.4341,256,389,0,blackhole:attack:123456,6,0,0,0,15,4,4,2.8667,1,5,10,11,0,0,15,360,1,300,0,0,0,0
0,1,0,10,85,1,0,84,0,0,8,0,8,640,464.0,384,256,640,464.0,384,256,0,0,8,464.0,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,650,472.625,128,522,16,0,0,0,0,1,12028,850,352,0,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,645,500.2946,256,389,0,blackhole:attack:123456,7,0,0,0,15,4,4,2.8667,1,5,5,7,0,0,15,420,1,360,0,0,0,0
0,14,0,140,84,1,0,83,0,0,76,0,75,642,491.5467,256,386,642,486.7632,128,514,0,0,22,483.0,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,644,472.25,128,516,16,0,0,0,0,1,13313,890,368,1,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,645,498.9535,256,389,0,blackhole:attack:123456,8,0,0,0,15,4,4,2.8667,1,5,16,15,0,0,16,480,1,420,0,0,0,0
0,4,0,40,85,1,0,85,0,0,58,0,58,640,551.7241,384,256,640,551.7241,384,256,0,0,13,561.2308,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,640,472.0,128,512,16,0,0,0,0,1,12636,864,360,0,BH_ATTACK_N16_SEED123456,123456,0,0,0,0,0,640,498.1628,256,384,0,blackhole:attack:123456,9,0,0,0,15,4,4,2.8667,1,5,15,9,0,0,15,540,1,480,0,0,0,0
0,0,0,0,184,1,0,0,15,30,354,0,350,65535,11910.24,256,65279,65535,11777.1073,128,65407,0,0,100,40185.35,0,0,31,11,blackhole,0,0,0,0,attack,15,16,7,2.4667,903,687.4,338,565,15,15,15,14,1,0,27199,1316,611,88,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,65535,1150.7705,256,65279,0,blackhole:attack:234567,10,0,0,0,0,0,0,0.0,0,0,16,16,0,8,16,60,0,0,0,0,0,0
