algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
dqn,1,sybil,123456,-14.5,0.0,2.175
dqn,2,sinkhole,234567,-14.12,2.118,2.175
dqn,3,sybil,345678,-14.18,2.118,3.9757
dqn,4,sybil,123456,-4.08,2.118,3.9914
dqn,5,sybil,234567,-4.06,2.118,4.0017
dqn,6,sybil,345678,-9.04,2.118,4.7574
dqn,7,sinkhole,123456,0.9,1.6653,4.7574
dqn,8,sybil,234567,-14.2,1.6653,6.1738
dqn,9,sybil,345678,-14.08,1.6653,7.3597
dqn,10,sybil,123456,-14.2,1.6653,8.3858
dqn,11,sybil,234567,-14.28,1.6653,9.2699
dqn,12,sinkhole,345678,-14.3,3.5605,9.2699
dqn,13,sybil,123456,-14.36,3.5605,10.0334
dqn,14,sinkhole,234567,-4.22,3.6594,10.0334
dqn,15,sinkhole,345678,-14.24,5.2465,10.0334
dqn,16,sybil,123456,-14.14,5.2465,10.6494
dqn,17,sybil,234567,-14.16,5.2465,11.176
dqn,18,sinkhole,345678,-14.26,6.5985,11.176
dqn,19,sybil,123456,-14.48,6.5985,11.6716
dqn,20,sinkhole,234567,-14.16,7.7328,11.6716
dqn,21,sybil,345678,-14.18,7.7328,12.0479
dqn,22,sinkhole,123456,-9.58,8.0098,12.0479
dqn,23,sybil,234567,-4.18,8.0098,10.8677
dqn,24,sinkhole,345678,-14.34,8.9594,10.8677
dqn,25,sinkhole,123456,-9.34,9.0165,10.8677
dqn,26,sinkhole,234567,-4.46,8.333,10.8677
dqn,27,sybil,345678,-14.22,8.333,11.3705
dqn,28,sinkhole,123456,-9.24,8.469,11.3705
dqn,29,sybil,234567,-14.34,8.469,11.8159
dqn,30,sinkhole,345678,-14.32,9.3467,11.8159
dqn,31,sybil,123456,-9.22,9.3467,11.4266
dqn,32,sybil,234567,-14.48,9.3467,11.8846
dqn,33,sybil,345678,-9.46,9.3467,11.5209
dqn,34,sinkhole,123456,-9.52,9.3727,11.5209
dqn,35,sybil,234567,-14.24,9.3727,11.9288
dqn,36,sybil,345678,-9.32,9.3727,11.5374
dqn,37,sybil,123456,-9.24,9.3727,11.1928
dqn,38,sybil,234567,-14.26,9.3727,11.6529
dqn,39,sybil,345678,-9.28,9.3727,11.297
dqn,40,sinkhole,123456,0.9,7.8318,11.297
dqn,41,sybil,234567,-14.08,7.8318,11.7144
dqn,42,sybil,345678,-14.24,7.8318,12.0933
dqn,43,sybil,123456,-4.1,7.8318,10.8943
dqn,44,sinkhole,234567,-14.1,8.772,10.8943
dqn,45,sinkhole,345678,-9.12,8.8242,10.8943
dqn,46,sybil,123456,-14.28,8.8242,11.4021
dqn,47,sybil,234567,-14.24,8.8242,11.8278
dqn,48,sybil,345678,-4.18,8.8242,10.6806
dqn,49,sybil,123456,-14.36,8.8242,11.2325
dqn,50,sybil,234567,-14.6,8.8242,11.7377
dqn,51,sybil,345678,-9.42,8.8242,11.39
dqn,52,sybil,123456,-14.18,8.8242,11.8085
dqn,53,sinkhole,234567,-4.24,8.1366,11.8085
dqn,54,sinkhole,345678,-14.22,9.0491,11.8085
dqn,55,sinkhole,123456,-9.44,9.1077,11.8085
dqn,56,sybil,234567,-14.26,9.1077,12.1762
dqn,57,sybil,345678,-9.36,9.1077,11.7538
dqn,58,sybil,123456,-4.08,9.1077,10.6027
dqn,59,sinkhole,234567,-14.14,9.8626,10.6027
dqn,60,sinkhole,345678,-14.28,10.5252,10.6027
dqn,61,sybil,123456,-14.34,10.5252,11.1633
dqn,62,sybil,234567,-14.02,10.5252,11.5918
dqn,63,sybil,345678,-14.08,10.5252,11.965
dqn,64,sybil,123456,-14.3,10.5252,12.3153
dqn,65,sybil,234567,-14.18,10.5252,12.595
dqn,66,sinkhole,345678,-4.14,9.5674,12.595
dqn,67,sinkhole,123456,-9.24,9.5183,12.595
dqn,68,sybil,234567,-14.36,9.5183,12.8597
dqn,69,sinkhole,345678,-14.5,10.2656,12.8597
dqn,70,sinkhole,123456,-9.42,10.1387,12.8597
dqn,71,sybil,234567,-14.2,10.1387,13.0608
dqn,72,sybil,345678,-9.5,10.1387,12.5267
dqn,73,sybil,123456,-14.36,10.1387,12.8017
dqn,74,sybil,234567,-14.44,10.1387,13.0474
dqn,75,sinkhole,345678,-9.12,9.9859,13.0474
dqn,76,sybil,123456,-14.3,9.9859,13.2353
dqn,77,sybil,234567,-14.38,9.9859,13.407
dqn,78,sybil,345678,-9.26,9.9859,12.785
dqn,79,sinkhole,123456,-9.14,9.859,12.785
dqn,80,sybil,234567,-14.26,9.859,13.0062
dqn,81,sybil,345678,-14.24,9.859,13.1913
dqn,82,sybil,123456,-9.08,9.859,12.5746
dqn,83,sybil,234567,-14.26,9.859,12.8274
dqn,84,sybil,345678,0.82,9.859,10.7803
dqn,85,sybil,123456,-14.24,9.859,11.2992
dqn,86,sinkhole,234567,-9.3,9.7752,11.2992
dqn,87,sybil,345678,-14.2,9.7752,11.7344
dqn,88,sybil,123456,-14.3,9.7752,12.1192
dqn,89,sybil,234567,-14.5,9.7752,12.4763
dqn,90,sinkhole,345678,-14.16,10.4329,12.4763
dqn,91,sinkhole,123456,-9.32,10.266,12.4763
dqn,92,sinkhole,234567,-9.1,10.0911,12.4763
dqn,93,sybil,345678,-9.24,10.0911,11.9909
dqn,94,sybil,123456,-9.14,10.0911,11.5632
dqn,95,sybil,234567,-4.08,10.0911,10.4408
dqn,96,sybil,345678,-9.34,10.0911,10.2756
dqn,97,sybil,123456,-14.32,10.0911,10.8823
dqn,98,sinkhole,234567,-14.16,10.7014,10.8823
dqn,99,sybil,345678,-9.18,10.7014,10.627
dqn,100,sinkhole,123456,0.88,8.9642,10.627
dqn,101,sybil,234567,-14.14,8.9642,11.1539
dqn,102,sinkhole,345678,0.94,7.4786,11.1539
dqn,103,sinkhole,123456,0.92,6.2188,11.1539
dqn,104,sybil,234567,-14.34,6.2188,11.6318
dqn,105,sybil,345678,-9.3,6.2188,11.2821
dqn,106,sinkhole,123456,-14.18,7.413,11.2821
dqn,107,sybil,234567,-14.1,7.413,11.7047
dqn,108,sybil,345678,-14.1,7.413,12.064
dqn,109,sybil,123456,-14.1,7.413,12.3694
dqn,110,sybil,234567,-14.16,7.413,12.638
dqn,111,sybil,345678,-9.26,7.413,12.1313
dqn,112,sybil,123456,-14.28,7.413,12.4536
dqn,113,sybil,234567,-14.24,7.413,12.7216
dqn,114,sybil,345678,-9.34,7.413,12.2143
dqn,115,sybil,123456,-4.1,7.413,10.9972
dqn,116,sybil,234567,-14.1,7.413,11.4626
dqn,117,sybil,345678,-4.1,7.413,10.3582
dqn,118,sybil,123456,-14.02,7.413,10.9075
