model,family,mode,seed,window_start_s,window_label,prediction,sensor_score,sensor_cusum,sensor_alarm,ddm_state,adaptive_window_state,model_reset,source_model,feature_count
static_gaussian,sinkhole,attack,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,360,1,0,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,420,1,0,11.0,44.0,1,drift,drift,0,blackhole_gaussian_nb,57
static_gaussian,sinkhole,attack,123456,480,1,0,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,240,1,0,11.0,11.0,1,stable,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,300,1,0,11.0,22.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,360,1,1,11.0,33.0,1,drift,drift,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,420,1,1,11.0,44.0,1,drift,stable,0,blackhole_gaussian_nb,57
online_gaussian,sinkhole,attack,123456,480,1,1,11.0,55.0,1,drift,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,0,0,0,0.0,0.0,0,awaiting_label,awaiting_label,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,60,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,120,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
ddm_reset_gaussian,sinkhole,attack,123456,180,0,0,0.0,0.0,0,stable,stable,0,blackhole_gaussian_nb,57
