model,source_family,target_family,adaptation_seed_count,adaptation_seeds,evaluation_seeds,features_used,source_runs,adaptation_runs,evaluation_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cart,blackhole,dio_suppression,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,dio_suppression,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.7222,0.5,0.05,0.0909,0.0192,1,51,1,19
cart,blackhole,dio_suppression,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.7963,0.5769,1.0,0.7317,0.2821,15,28,11,0
cart,blackhole,dio_suppression,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.75,0.5263,1.0,0.6897,0.3462,10,17,9,0
cart,blackhole,dis_flood,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,dis_flood,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,blackhole,dis_flood,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,blackhole,dis_flood,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,blackhole,grayhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9306,1.0,0.75,0.8571,0.0,15,52,0,5
cart,blackhole,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9815,1.0,0.9333,0.9655,0.0,14,39,0,1
cart,blackhole,grayhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,blackhole,increase_rank,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.8556,1.0,0.48,0.6486,0.0,12,65,0,13
cart,blackhole,increase_rank,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8333,0.6818,0.75,0.7143,0.1346,15,45,7,5
cart,blackhole,increase_rank,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8148,0.6316,0.8,0.7059,0.1795,12,32,7,3
cart,blackhole,increase_rank,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.8056,0.6154,0.8,0.6957,0.1923,8,21,5,2
cart,blackhole,sinkhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,sinkhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8333,1.0,0.4,0.5714,0.0,8,52,0,12
cart,blackhole,sinkhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9815,1.0,0.9333,0.9655,0.0,14,39,0,1
cart,blackhole,sinkhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9722,1.0,0.9,0.9474,0.0,9,26,0,1
cart,blackhole,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,blackhole,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,blackhole,sybil,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,blackhole,wormhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,wormhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8889,0.875,0.7,0.7778,0.0385,14,50,2,6
cart,blackhole,wormhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8519,0.8182,0.6,0.6923,0.0513,9,37,2,6
cart,blackhole,wormhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.8333,0.6667,0.8,0.7273,0.1538,8,22,4,2
cart,blackhole,worst_parent,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,blackhole,worst_parent,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,blackhole,worst_parent,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,blackhole,worst_parent,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dio_suppression,blackhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dio_suppression,blackhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dio_suppression,blackhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dio_suppression,blackhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dio_suppression,dis_flood,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7778,0.6,0.6,0.6,0.1538,15,55,10,10
cart,dio_suppression,dis_flood,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dio_suppression,dis_flood,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.963,0.8824,1.0,0.9375,0.0513,15,37,2,0
cart,dio_suppression,dis_flood,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dio_suppression,grayhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7556,0.5652,0.52,0.5417,0.1538,13,55,10,12
cart,dio_suppression,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9028,1.0,0.65,0.7879,0.0,13,52,0,7
cart,dio_suppression,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8333,0.8,0.5333,0.64,0.0513,8,37,2,7
