train_family,test_family,static_cart_f1
blackhole,dio_suppression,0.0
blackhole,dis_flood,0.0
blackhole,grayhole,0.0
blackhole,increase_rank,0.6486
blackhole,sinkhole,0.0
blackhole,sybil,0.0
blackhole,wormhole,0.0
blackhole,worst_parent,0.0
dio_suppression,blackhole,0.0
dio_suppression,dis_flood,0.6
dio_suppression,grayhole,0.5417
dio_suppression,increase_rank,0.25
dio_suppression,sinkhole,0.0
dio_suppression,sybil,0.0
dio_suppression,wormhole,0.0
dio_suppression,worst_parent,0.0
dis_flood,blackhole,0.0
dis_flood,dio_suppression,0.0
dis_flood,grayhole,0.0
dis_flood,increase_rank,0.0
dis_flood,sinkhole,0.0
dis_flood,sybil,1.0
dis_flood,wormhole,0.0
dis_flood,worst_parent,1.0
grayhole,blackhole,1.0
grayhole,dio_suppression,0.0
grayhole,dis_flood,0.0
grayhole,increase_rank,0.1481
grayhole,sinkhole,0.0
grayhole,sybil,0.0
grayhole,wormhole,0.0
grayhole,worst_parent,0.0769
increase_rank,blackhole,0.0
increase_rank,dio_suppression,0.359
increase_rank,dis_flood,0.2703
increase_rank,grayhole,0.2703
increase_rank,sinkhole,0.0
increase_rank,sybil,0.2703
increase_rank,wormhole,0.0
increase_rank,worst_parent,0.8772
sinkhole,blackhole,0.0
sinkhole,dio_suppression,0.0
sinkhole,dis_flood,0.0
sinkhole,grayhole,0.0
sinkhole,increase_rank,0.0
sinkhole,sybil,0.0
sinkhole,wormhole,0.0
sinkhole,worst_parent,0.0
sybil,blackhole,0.0
sybil,dio_suppression,0.0
sybil,dis_flood,1.0
sybil,grayhole,0.0
sybil,increase_rank,0.0
sybil,sinkhole,0.0
sybil,wormhole,0.0
sybil,worst_parent,1.0
wormhole,blackhole,0.4762
wormhole,dio_suppression,0.4762
wormhole,dis_flood,0.4762
wormhole,grayhole,0.4762
wormhole,increase_rank,0.4762
wormhole,sinkhole,0.4762
wormhole,sybil,0.4762
wormhole,worst_parent,0.4762
worst_parent,blackhole,0.0
worst_parent,dio_suppression,0.0
worst_parent,dis_flood,0.0
worst_parent,grayhole,0.0
worst_parent,increase_rank,0.0
worst_parent,sinkhole,0.0
worst_parent,sybil,0.0
worst_parent,wormhole,0.0
