experiment,adaptation_sinkhole_seeds,metric,split_count,mean,standard_deviation,minimum,maximum,interpretation
blackhole_to_sinkhole_routing_cart_adaptation,0,accuracy,1,0.7222,0.0,0.7222,0.7222,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,0,precision,1,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,0,recall,1,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,0,f1,1,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,0,fpr,1,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,1,accuracy,5,0.925,0.0843,0.8333,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,1,precision,5,1.0,0.0,1.0,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,1,recall,5,0.73,0.3033,0.4,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,1,f1,5,0.8129,0.2213,0.5714,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,1,fpr,5,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,2,accuracy,10,0.9648,0.0673,0.7778,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,2,precision,10,1.0,0.0,1.0,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,2,recall,10,0.8733,0.2423,0.2,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,2,f1,10,0.9087,0.2041,0.3333,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,2,fpr,10,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,3,accuracy,10,0.9861,0.0197,0.9444,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,3,precision,10,1.0,0.0,1.0,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,3,recall,10,0.95,0.0707,0.8,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,3,f1,10,0.9731,0.0386,0.8889,1.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
blackhole_to_sinkhole_routing_cart_adaptation,3,fpr,10,0.0,0.0,0.0,0.0,spread across overlapping whole-seed adaptation/evaluation splits; not an independent confidence interval
