run_id,family,mode,binary_label,nodes,seed,test_ok,sim_end_us,attack_enabled_time,attack_enabled_events,sinkhole_advertised_rank_events,increase_rank_advertised_rank_events,blackhole_log_events,app_received_requests,app_received_responses,app_not_reachable,app_tx_stat_lines,radio_count_reported,radio_transmissions,testlog_lines,radio_lines,run_dir
BH_ATTACK_N16_SEED123456,blackhole,attack,1,16,123456,1,540000000,04:00.473,1,0,0,840,278,276,57,74,5588,5588,2648,5589,experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED123456
BH_ATTACK_N16_SEED234567,blackhole,attack,1,16,234567,1,540000000,04:00.921,1,0,0,838,281,281,59,76,5629,5629,2663,5630,experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED234567
BH_ATTACK_N16_SEED345678,blackhole,attack,1,16,345678,1,540000000,04:00.480,1,0,0,844,275,274,59,75,5595,5595,2646,5596,experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED345678
BH_ATTACK_N16_SEED456789,blackhole,attack,1,16,456789,1,540000000,04:00.343,1,0,0,834,275,275,63,73,5557,5557,2634,5558,experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED456789
BH_ATTACK_N16_SEED567890,blackhole,attack,1,16,567890,1,540000000,04:00.703,1,0,0,848,274,274,63,74,5605,5605,2652,5606,experiments/blackhole/final_corrected_240s_540s/runs/BH_ATTACK_N16_SEED567890
BH_CONTROL_N16_SEED123456,blackhole,control,0,16,123456,1,540000000,,0,0,0,0,695,693,57,73,8957,8957,3057,8958,experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED123456
BH_CONTROL_N16_SEED234567,blackhole,control,0,16,234567,1,540000000,,0,0,0,0,699,699,59,76,9006,9006,3080,9007,experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED234567
BH_CONTROL_N16_SEED345678,blackhole,control,0,16,345678,1,540000000,,0,0,0,0,696,695,59,75,9025,9025,3066,9026,experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED345678
BH_CONTROL_N16_SEED456789,blackhole,control,0,16,456789,1,540000000,,0,0,0,0,690,689,63,73,8921,8921,3044,8922,experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED456789
BH_CONTROL_N16_SEED567890,blackhole,control,0,16,567890,1,540000000,,0,0,0,0,696,696,63,74,9013,9013,3071,9014,experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED567890
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,16,123456,1,540000000,04:00.473,1,1,0,0,697,695,57,73,9015,9015,3168,9016,experiments/sinkhole/final_corrected_240s_540s/runs/SH_ATTACK_N16_SEED123456
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,16,234567,1,540000000,04:00.921,1,1,0,0,699,699,59,76,9005,9005,3175,9006,experiments/sinkhole/final_corrected_240s_540s/runs/SH_ATTACK_N16_SEED234567
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,16,345678,1,540000000,04:00.480,1,1,0,0,696,693,59,75,9016,9016,3174,9017,experiments/sinkhole/final_corrected_240s_540s/runs/SH_ATTACK_N16_SEED345678
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,16,456789,1,540000000,04:00.343,1,1,0,0,693,693,63,74,8943,8943,3142,8944,experiments/sinkhole/final_corrected_240s_540s/runs/SH_ATTACK_N16_SEED456789
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,16,567890,1,540000000,04:00.703,1,1,0,0,695,695,63,73,9022,9022,3180,9023,experiments/sinkhole/final_corrected_240s_540s/runs/SH_ATTACK_N16_SEED567890
SH_CONTROL_N16_SEED123456,sinkhole,control,0,16,123456,1,540000000,,0,0,0,0,695,693,57,73,8957,8957,3158,8958,experiments/sinkhole/final_corrected_240s_540s/runs/SH_CONTROL_N16_SEED123456
SH_CONTROL_N16_SEED234567,sinkhole,control,0,16,234567,1,540000000,,0,0,0,0,699,699,59,76,9006,9006,3173,9007,experiments/sinkhole/final_corrected_240s_540s/runs/SH_CONTROL_N16_SEED234567
SH_CONTROL_N16_SEED345678,sinkhole,control,0,16,345678,1,540000000,,0,0,0,0,696,695,59,75,9025,9025,3173,9026,experiments/sinkhole/final_corrected_240s_540s/runs/SH_CONTROL_N16_SEED345678
SH_CONTROL_N16_SEED456789,sinkhole,control,0,16,456789,1,540000000,,0,0,0,0,690,689,63,73,8921,8921,3126,8922,experiments/sinkhole/final_corrected_240s_540s/runs/SH_CONTROL_N16_SEED456789
SH_CONTROL_N16_SEED567890,sinkhole,control,0,16,567890,1,540000000,,0,0,0,0,696,696,63,74,9013,9013,3184,9014,experiments/sinkhole/final_corrected_240s_540s/runs/SH_CONTROL_N16_SEED567890
