run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,0,60,0,0,0,0,0,0,0,623,27507,1290,16,188,90,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,60,120,0,0,0,0,0,0,0,1069,40249,2128,16,337,171,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,120,180,0,140,140,0,14,0,0,1046,38768,2088,16,337,172,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,180,240,0,40,40,0,4,0,0,1029,37392,2001,16,333,168,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,240,300,1,100,92,0,10,0,0,375,13768,901,16,86,2,0,0,1,82
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,300,360,1,130,4,0,13,0,0,366,12743,899,15,85,0,0,0,0,85
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,360,420,1,10,0,0,1,0,0,352,12028,850,15,85,0,0,0,0,84
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,420,480,1,140,0,0,14,0,0,368,13313,890,16,84,1,0,0,0,83
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,480,540,1,40,0,0,4,0,0,360,12636,864,15,85,0,0,0,0,85
BH_ATTACK_N16_SEED234567,blackhole,attack,1,0,16,234567,0,60,0,0,0,0,0,0,0,611,27199,1316,16,184,88,0,0,0,0
BH_ATTACK_N16_SEED234567,blackhole,attack,1,0,16,234567,60,120,0,0,0,0,0,0,0,1073,40168,2230,16,342,170,0,0,0,0
BH_ATTACK_N16_SEED234567,blackhole,attack,1,0,16,234567,120,180,0,140,140,0,14,0,0,1072,39625,2230,16,343,175,0,0,0,0
BH_ATTACK_N16_SEED234567,blackhole,attack,1,0,16,234567,180,240,0,60,60,0,6,0,0,1031,37414,2100,16,337,171,0,0,0,0
BH_ATTACK_N16_SEED234567,blackhole,attack,1,1,16,234567,240,300,1,80,75,0,8,0,0,403,14941,1045,16,93,4,0,0,1,82
BH_ATTACK_N16_SEED234567,blackhole,attack,1,1,16,234567,300,360,1,130,6,0,13,0,0,353,12170,904,15,84,0,0,0,0,83
BH_ATTACK_N16_SEED234567,blackhole,attack,1,1,16,234567,360,420,1,10,0,0,1,0,0,357,12299,926,15,84,0,0,0,0,84
BH_ATTACK_N16_SEED234567,blackhole,attack,1,1,16,234567,420,480,1,140,0,0,14,0,0,356,12707,914,16,84,1,0,0,0,83
BH_ATTACK_N16_SEED234567,blackhole,attack,1,1,16,234567,480,540,1,60,0,0,6,0,0,373,13258,945,15,86,0,0,0,0,86
BH_ATTACK_N16_SEED345678,blackhole,attack,1,0,16,345678,0,60,0,0,0,0,0,0,0,596,26481,1300,16,178,87,0,0,0,0
BH_ATTACK_N16_SEED345678,blackhole,attack,1,0,16,345678,60,120,0,0,0,0,0,0,0,1074,40361,2250,16,342,172,0,0,0,0
BH_ATTACK_N16_SEED345678,blackhole,attack,1,0,16,345678,120,180,0,140,139,0,14,0,0,1054,39044,2212,16,336,170,0,0,0,0
BH_ATTACK_N16_SEED345678,blackhole,attack,1,0,16,345678,180,240,0,40,40,0,4,0,0,1050,38894,2266,16,338,174,0,0,0,0
BH_ATTACK_N16_SEED345678,blackhole,attack,1,1,16,345678,240,300,1,100,90,0,10,0,0,380,13850,987,15,86,0,0,0,1,86
BH_ATTACK_N16_SEED345678,blackhole,attack,1,1,16,345678,300,360,1,120,5,0,12,0,0,362,12446,952,15,84,0,0,0,0,84
BH_ATTACK_N16_SEED345678,blackhole,attack,1,1,16,345678,360,420,1,20,0,0,2,0,0,355,12349,908,16,83,1,0,0,0,83
