column,present_in_count,present_in_attacks,missing_from_attacks
ACK_NO,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
APP_LAYER_ARRIVAL_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
APP_LAYER_PAYLOAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Avg_hop_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
CHILD_COUNT,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
CMP_LQ_PP_OP,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
CONTROL_PACKET_TYPE/APP_NAME,1,worst_parent,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole
CWND,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
DESTINATION_ID,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
DESTINATION_IP,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
Dst_DAOAck_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Dst_DAO_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Dst_DIO_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Dst_DIS_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
Dst_host_count,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
GATEWAY_IP,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
LOCAL_ADDRESS,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
LQ_SN_PN,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
MAC_LAYER_ARRIVAL_TIME(US),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
MAC_LAYER_PAYLOAD(Bytes),8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
NEIGHBOUR_COUNT,7,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole,worst_parent
NEXT_HOP_IP,8,blackhole;dio_suppression;dis_flooding;grayhole;increase_rank;sinkhole;wormhole;worst_parent,
