attack_code,attack,folder,target_col,split,rows_used,normal_train,attack_train,normal_test,attack_test,model,num_features,accuracy,precision,recall,f1,f2,fpr,tn,fp,fn,tp
BH,Blackhole,Blackhole (BH),TYPE,temporal_first70_last30,43442,20390,10019,8658,4375,DecisionTree_top6_temporal,6,97.3375278140106,94.79537366548043,97.41714285714286,96.08837786044414,96.88125113657028,0.02702702702702703,8424,234,113,4262
BH,Blackhole,Blackhole (BH),TYPE,temporal_first70_last30,43442,20390,10019,8658,4375,RandomForest_top6_temporal,6,98.25059464436431,95.04670866825983,100.0,97.46045889953218,98.96846581911957,0.026334026334026334,8430,228,0,4375
DS,DIO Suppression,DIO Suppression (DS),TYPE,temporal_first70_last30,117991,80211,2382,34458,940,DecisionTree_top6_temporal,6,99.45194643765186,86.78500986193293,93.61702127659575,90.07164790174002,92.16589861751152,0.003888792152765686,34324,134,60,880
DS,DIO Suppression,DIO Suppression (DS),TYPE,temporal_first70_last30,117991,80211,2382,34458,940,RandomForest_top6_temporal,6,99.45194643765186,86.78500986193293,93.61702127659575,90.07164790174002,92.16589861751152,0.003888792152765686,34324,134,60,880
DA,DIS Flooding,DIS Flooding (DA),TYPE,temporal_first70_last30,65740,33409,12609,14307,5415,DecisionTree_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,14307,0,0,5415
DA,DIS Flooding,DIS Flooding (DA),TYPE,temporal_first70_last30,65740,33409,12609,14307,5415,RandomForest_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,14307,0,0,5415
GH,Grayhole,Grayhole (GH),TYPE,temporal_first70_last30,92396,59232,5445,25749,1970,DecisionTree_top6_temporal,6,98.85998773404523,92.98336798336798,90.81218274111676,91.88495120698511,91.23827009383925,0.005242922055225445,25614,135,181,1789
GH,Grayhole,Grayhole (GH),TYPE,temporal_first70_last30,92396,59232,5445,25749,1970,RandomForest_top6_temporal,6,99.65366715970994,100.0,95.12690355329948,97.50260145681582,96.06315357801928,0.0,25749,0,96,1874
IR,Increase Rank,Increase Rank (IR),TYPE,temporal_first70_last30,120000,65648,18352,22833,13167,DecisionTree_top6_temporal,6,99.6861111111111,99.30503097144585,99.84051036682615,99.5720507479644,99.73295299365763,0.004029255901546008,22741,92,21,13146
IR,Increase Rank,Increase Rank (IR),TYPE,temporal_first70_last30,120000,65648,18352,22833,13167,RandomForest_top6_temporal,6,99.6861111111111,99.30503097144585,99.84051036682615,99.5720507479644,99.73295299365763,0.004029255901546008,22741,92,21,13146
SH,Sinkhole,Sinkhole (SH),TYPE,temporal_first70_last30,26003,9257,8945,3738,4063,DecisionTree_top6_temporal,6,90.257659274452,100.0,81.29460989416687,89.68232419223459,84.45410380976732,0.0,3738,0,760,3303
SH,Sinkhole,Sinkhole (SH),TYPE,temporal_first70_last30,26003,9257,8945,3738,4063,RandomForest_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,3738,0,0,4063
WH,Wormhole,Wormhole (WH),TYPE,temporal_first70_last30,120000,43306,40694,18534,17466,DecisionTree_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,18534,0,0,17466
WH,Wormhole,Wormhole (WH),TYPE,temporal_first70_last30,120000,43306,40694,18534,17466,RandomForest_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,18534,0,0,17466
WP,Worst Parent,Worst Parent (WP),Node_Type,temporal_first70_last30,10834,331,7252,146,3105,DecisionTree_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,146,0,0,3105
WP,Worst Parent,Worst Parent (WP),Node_Type,temporal_first70_last30,10834,331,7252,146,3105,RandomForest_top6_temporal,6,100.0,100.0,100.0,100.0,100.0,0.0,146,0,0,3105
