attack_code,attack,rank,feature,importance
BH,Blackhole,1,Dst_host_count,0.1500724381146264
BH,Blackhole,2,PKT_TYPE,0.12658489909891302
BH,Blackhole,3,Source_Rank,0.083170136100541
BH,Blackhole,4,MAC_LAYER_PAYLOAD(Bytes),0.08063778690121447
BH,Blackhole,5,Src_host_count,0.07723600444186295
BH,Blackhole,6,PHY_LAYER_PAYLOAD(Bytes),0.06607130659922043
DS,DIO Suppression,1,CMP_LQ_PP_OP,0.38193947933667893
DS,DIO Suppression,2,Parrent_Node,0.10969822265696069
DS,DIO Suppression,3,Src_host_count,0.09575837936106929
DS,DIO Suppression,4,CHILD_COUNT,0.0909366513883654
DS,DIO Suppression,5,Source_Rank,0.08676839186359943
DS,DIO Suppression,6,Number_of_Sibils,0.07456989403839737
DA,DIS Flooding,1,Src_DIS_count,0.21483758843852682
DA,DIS Flooding,2,PKT_TYPE,0.18010533027816075
DA,DIS Flooding,3,Src_DIO_count,0.12554835791898297
DA,DIS Flooding,4,Src_host_count,0.10954844267444178
DA,DIS Flooding,5,PHY_LAYER_PAYLOAD(Bytes),0.10103218785525991
DA,DIS Flooding,6,MAC_LAYER_PAYLOAD(Bytes),0.08265825575026953
GH,Grayhole,1,Dst_host_count,0.18299153408714613
GH,Grayhole,2,PKT_TYPE,0.15749047510260358
GH,Grayhole,3,MAC_LAYER_PAYLOAD(Bytes),0.08674901420332838
GH,Grayhole,4,PHY_LAYER_PAYLOAD(Bytes),0.07964385132770171
GH,Grayhole,5,Number_of_Sibils,0.06309733588374869
GH,Grayhole,6,Src_host_count,0.05762566146914074
IR,Increase Rank,1,CHILD_COUNT,0.18169304231722583
IR,Increase Rank,2,Parrent_Node,0.1357527559962558
IR,Increase Rank,3,Source_Rank,0.11816827919665848
IR,Increase Rank,4,RANK_ALT_COUNT,0.08521578339520108
IR,Increase Rank,5,PKT_TYPE,0.07511407014331449
IR,Increase Rank,6,Parents_Count,0.07338667627443518
SH,Sinkhole,1,Dst_host_count,0.15324697050080016
SH,Sinkhole,2,PKT_TYPE,0.11800210116321758
SH,Sinkhole,3,PHY_LAYER_PAYLOAD(Bytes),0.07812948967020714
SH,Sinkhole,4,Source_Rank,0.06932795146677845
SH,Sinkhole,5,MAC_LAYER_PAYLOAD(Bytes),0.06394930367086991
SH,Sinkhole,6,Dst_DAO_count,0.040747104359694364
WH,Wormhole,1,NEIGHBOUR_COUNT,0.2086209910689934
WH,Wormhole,2,Src_host_count,0.18566704989610713
WH,Wormhole,3,cpkt_loss,0.11567034747386644
WH,Wormhole,4,RANK_ALT_COUNT,0.08961242112593946
WH,Wormhole,5,Source_Rank,0.08421741943047191
WH,Wormhole,6,Parrent_Node,0.07390884415125161
WP,Worst Parent,1,Source_Rank,0.4489332058284988
WP,Worst Parent,2,RPL_NEIGHBOUR_COUNT,0.1823333055502336
WP,Worst Parent,3,Parrent_Node,0.11038279556387309
WP,Worst Parent,4,CONTROL_PACKET_TYPE/APP_NAME,0.06571403367876304
WP,Worst Parent,5,PHY_LAYER_OVERHEAD(Bytes),0.055893883855505234
WP,Worst Parent,6,MAC_LAYER_PAYLOAD(Bytes),0.03562715918024634
