experiment,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
window_adapt_0_static_blackhole_only,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
window_adapt_1_sinkhole_seed_combo,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,123456,"234567,345678,456789,567890"
window_adapt_1_sinkhole_seed_combo,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,234567,"123456,345678,456789,567890"
window_adapt_1_sinkhole_seed_combo,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,345678,"123456,234567,456789,567890"
window_adapt_1_sinkhole_seed_combo,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,456789,"123456,234567,345678,567890"
window_adapt_1_sinkhole_seed_combo,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,567890,"123456,234567,345678,456789"
window_adapt_2_sinkhole_seed_combo,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"123456,234567","345678,456789,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15,2,36,"123456,345678","234567,456789,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15,2,36,"123456,456789","234567,345678,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15,2,36,"123456,567890","234567,345678,456789"
window_adapt_2_sinkhole_seed_combo,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"234567,345678","123456,456789,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"234567,456789","123456,345678,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"234567,567890","123456,345678,456789"
window_adapt_2_sinkhole_seed_combo,126,54,0.6852,0.0,0.0,0,0,0.0513,0,37,2,15,2,36,"345678,456789","123456,234567,567890"
window_adapt_2_sinkhole_seed_combo,126,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15,2,36,"345678,567890","123456,234567,456789"
window_adapt_2_sinkhole_seed_combo,126,54,0.6852,0.0,0.0,0,0,0.0513,0,37,2,15,2,36,"456789,567890","123456,234567,345678"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,345678","456789,567890"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,456789","345678,567890"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,234567,567890","345678,456789"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,345678,456789","234567,567890"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,345678,567890","234567,456789"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"123456,456789,567890","234567,345678"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,456789","123456,567890"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"234567,345678,567890","123456,456789"
window_adapt_3_sinkhole_seed_combo,144,36,0.4444,0.3333,1.0,0.5,0.7143,0.7692,10,6,20,0,3,54,"234567,456789,567890","123456,345678"
window_adapt_3_sinkhole_seed_combo,144,36,0.5,0.3571,1.0,0.5263,0.7353,0.6923,10,8,18,0,3,54,"345678,456789,567890","123456,234567"
