detector,mode,seed,reference_blackhole_seeds,input_type,labels_or_attack_markers_used_as_detector_inputs,pre_activation_alarm,post_activation_alarm_window_s,detection_delay_s,attack_detected_without_prealarm,control_false_alarm
rank_state_cusum,attack,123456,"234567,345678,456789,567890",rank-state telemetry only,no,0,240,0,1,0
ddm_on_delayed_cart_errors,attack,123456,"234567,345678,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,300,60,1,0
rank_state_cusum,control,123456,"234567,345678,456789,567890",rank-state telemetry only,no,0,,,0,0
ddm_on_delayed_cart_errors,control,123456,"234567,345678,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,,,0,0
rank_state_cusum,attack,234567,"123456,345678,456789,567890",rank-state telemetry only,no,0,240,0,1,0
ddm_on_delayed_cart_errors,attack,234567,"123456,345678,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,300,60,1,0
rank_state_cusum,control,234567,"123456,345678,456789,567890",rank-state telemetry only,no,0,,,0,0
ddm_on_delayed_cart_errors,control,234567,"123456,345678,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,,,0,0
rank_state_cusum,attack,345678,"123456,234567,456789,567890",rank-state telemetry only,no,0,240,0,1,0
ddm_on_delayed_cart_errors,attack,345678,"123456,234567,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,300,60,1,0
rank_state_cusum,control,345678,"123456,234567,456789,567890",rank-state telemetry only,no,0,,,0,0
ddm_on_delayed_cart_errors,control,345678,"123456,234567,456789,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,,,0,0
rank_state_cusum,attack,456789,"123456,234567,345678,567890",rank-state telemetry only,no,0,240,0,1,0
ddm_on_delayed_cart_errors,attack,456789,"123456,234567,345678,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,300,60,1,0
rank_state_cusum,control,456789,"123456,234567,345678,567890",rank-state telemetry only,no,0,,,0,0
ddm_on_delayed_cart_errors,control,456789,"123456,234567,345678,567890",delayed CART prediction errors,delayed labels only; no attack markers,0,,,0,0
rank_state_cusum,attack,567890,"123456,234567,345678,456789",rank-state telemetry only,no,0,240,0,1,0
ddm_on_delayed_cart_errors,attack,567890,"123456,234567,345678,456789",delayed CART prediction errors,delayed labels only; no attack markers,0,300,60,1,0
rank_state_cusum,control,567890,"123456,234567,345678,456789",rank-state telemetry only,no,0,,,0,0
ddm_on_delayed_cart_errors,control,567890,"123456,234567,345678,456789",delayed CART prediction errors,delayed labels only; no attack markers,0,,,0,0
