experiment,model,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
adapt_0_sinkhole_seeds,gaussian,coarse,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,gaussian,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.6481,0.4167,0.6667,0.5128,0.5952,0.359,10,25,14,5,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.5741,0.3571,0.6667,0.4651,0.5682,0.4615,10,21,18,5,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.4815,0.3415,0.9333,0.5,0.6931,0.6923,14,12,27,1,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.5741,0.3667,0.7333,0.4889,0.6111,0.4872,11,20,19,4,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.537,0.3333,0.6667,0.4444,0.5556,0.5128,10,19,20,5,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.4815,0.3333,0.8667,0.4815,0.6566,0.6667,13,13,26,2,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.5741,0.3667,0.7333,0.4889,0.6111,0.4872,11,20,19,4,2,36,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.463,0.3158,0.8,0.4528,0.6122,0.6667,12,13,26,3,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.5185,0.3429,0.8,0.48,0.6316,0.5897,12,16,23,3,2,36,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seeds,gaussian,coarse,126,54,0.5185,0.3659,1.0,0.5357,0.7426,0.6667,15,13,26,0,2,36,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,456789","345678,567890"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,gaussian,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"345678,456789,567890","123456,234567"
adapt_0_sinkhole_seeds,gaussian,coarse_plus_routing,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,gaussian,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,gaussian,coarse_plus_routing,108,72,0.5,0.3571,1.0,0.5263,0.7353,0.6923,20,16,36,0,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,gaussian,coarse_plus_routing,126,54,0.5,0.3571,1.0,0.5263,0.7353,0.6923,15,12,27,0,2,36,"345678,567890","123456,234567,456789"
