experiment,model,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn
blackhole_leave_seed_123456,gaussian,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_234567,gaussian,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_345678,gaussian,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_456789,gaussian,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_567890,gaussian,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
static_blackhole_to_sinkhole,gaussian,coarse,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25
blackhole_leave_seed_123456,gaussian,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_234567,gaussian,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_345678,gaussian,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_456789,gaussian,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_567890,gaussian,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
static_blackhole_to_sinkhole,gaussian,coarse_plus_routing,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25
blackhole_leave_seed_123456,cart,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_234567,cart,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_345678,cart,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_456789,cart,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_567890,cart,coarse,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
static_blackhole_to_sinkhole,cart,coarse,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25
blackhole_leave_seed_123456,cart,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_234567,cart,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_345678,cart,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_456789,cart,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
blackhole_leave_seed_567890,cart,coarse_plus_routing,72,18,1.0,1.0,1.0,1.0,1.0,0.0,5,13,0,0
static_blackhole_to_sinkhole,cart,coarse_plus_routing,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25
