experiment,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
adapt_0_sinkhole_seeds,coarse,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,coarse,108,72,0.7222,0,0.0,0,0,0.0,0,52,0,20,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,coarse,126,54,0.6481,0.4167,0.6667,0.5128,0.5952,0.359,10,25,14,5,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.5926,0.3793,0.7333,0.5,0.618,0.4615,11,21,18,4,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.4815,0.3333,0.8667,0.4815,0.6566,0.6667,13,13,26,2,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.5926,0.3871,0.8,0.5217,0.6593,0.4872,12,20,19,3,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,coarse,126,54,0.5741,0.375,0.8,0.5106,0.6522,0.5128,12,19,20,3,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.5,0.3421,0.8667,0.4906,0.6633,0.641,13,14,25,2,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.6111,0.4062,0.8667,0.5532,0.7065,0.4872,13,20,19,2,2,36,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seeds,coarse,126,54,0.5,0.3333,0.8,0.4706,0.625,0.6154,12,15,24,3,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,coarse,126,54,0.537,0.3611,0.8667,0.5098,0.6771,0.5897,13,16,23,2,2,36,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seeds,coarse,126,54,0.5,0.35,0.9333,0.5091,0.7,0.6667,14,13,26,1,2,36,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seeds,coarse,144,36,0.3889,0.3125,1.0,0.4762,0.6944,0.8462,10,4,22,0,3,54,"123456,234567,456789","345678,567890"
