feature,sinkhole_attack_post_mean,sinkhole_control_post_mean,difference
dio_rx_count,61.04,56.52,4.52
dio_tx_count,17.56,16.36,1.2
dis_rx_count,0.0,0.0,0.0
dis_tx_count,0.0,0.0,0.0
dao_rx_count,0.0,0.0,0.0
dao_tx_count,0.0,0.0,0.0
parent_switch_count,0.0,0.0,0.0
parent_switch_to_root_count,0.0,0.0,0.0
parent_switch_to_nonroot_count,0.0,0.0,0.0
unique_parent_targets,0.0,0.0,0.0
significant_rank_update_count,0.0,0.0,0.0
unique_dio_senders,12.88,12.52,0.36
unique_dio_receivers,13.28,12.88,0.4
dio_rx_rank_min,240.64,302.08,-61.44
dio_rx_rank_mean,490.4677,515.4573,-24.9897
dio_rx_rank_max,653.8,651.96,1.84
dio_rx_rank_range,413.16,349.88,63.28
dio_rx_nonroot_count,60.8,56.28,4.52
dio_rx_nonroot_rank_min,281.6,348.16,-66.56
dio_rx_nonroot_rank_mean,493.3373,517.4242,-24.0869
dio_rx_nonroot_rank_max,653.8,651.96,1.84
dio_rx_nonroot_rank_range,372.2,303.8,68.4
dio_rx_low_rank_nonroot_count,1.0,0.0,1.0
unique_low_rank_nonroot_senders,0.2,0.0,0.2
dio_tx_rank_mean,494.6857,509.8526,-15.1669
state_nonroot_rank_min,256.0,256.0,0.0
state_nonroot_rank_mean,503.2254,503.8567,-0.6313
state_nonroot_rank_max,663.84,660.16,3.68
state_nonroot_rank_range,407.84,404.16,3.68
state_low_rank_nonroot_pairs,0.0,0.0,0.0
state_low_rank_nonroot_senders,0.0,0.0,0.0
state_receivers_exposed_low_rank_nonroot,0.0,0.0,0.0
own_state_sample_count,16.0,16.0,0.0
own_rank_min,128.0,128.0,0.0
own_rank_mean,473.3275,476.2775,-2.95
own_rank_max,652.84,653.32,-0.48
own_rank_range,524.84,525.32,-0.48
own_neighbor_count_mean,8.125,8.125,0.0
own_neighbor_count_max,13.0,13.0,0.0
topology_edge_count,15.0,15.0,0.0
topology_unique_parents,6.8,6.8,0.0
topology_max_parent_fanout,4.0,4.0,0.0
topology_root_direct_children,1.0,1.0,0.0
topology_mean_depth,2.8667,2.8667,0.0
topology_max_depth,4.0,4.0,0.0
