evaluation,model,train_family,test_family,features_used,train_runs,test_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
in_domain,gaussian,blackhole,blackhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,blackhole,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,blackhole,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dio_suppression,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,dio_suppression,dio_suppression,69,10,10,90,90,0.7778,0.5556,1.0,0.7143,0.3077,25,45,20,0
cross_attack,gaussian,dio_suppression,dis_flood,69,10,10,90,90,0.5,0.0,0.0,0.0,0.3077,0,45,20,25
cross_attack,gaussian,dio_suppression,grayhole,69,10,10,90,90,0.5,0.0,0.0,0.0,0.3077,0,45,20,25
cross_attack,gaussian,dio_suppression,increase_rank,69,10,10,90,90,0.6,0.3103,0.36,0.3333,0.3077,9,45,20,16
cross_attack,gaussian,dio_suppression,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dio_suppression,sybil,69,10,10,90,90,0.5,0.0,0.0,0.0,0.3077,0,45,20,25
cross_attack,gaussian,dio_suppression,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dio_suppression,worst_parent,69,10,10,90,90,0.5,0.0,0.0,0.0,0.3077,0,45,20,25
cross_attack,gaussian,dis_flood,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dis_flood,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
