No.	Time	From	To	Bytes	Interfered
1	00:04.798	1	16	97	0
2	00:06.669	16	1,2,3,4,5	102	2
3	00:06.673	1	16	5	0
4	00:09.167	16	1,2,3,4,5	102	2
5	00:09.171	1	16	5	0
6	00:09.780	16	1,2,3,4,5	102	2
7	00:09.784	1	16	5	0
8	00:11.671	1	16	97	0
9	00:13.606	16	1,2,3,4,5	102	2
10	00:13.610	1	16	5	0
11	00:15.319	6	2,3,7,8,9,12,13	27	2
12	00:15.613	15	8,9,10,11,12,13,14	27	3
13	00:16.094	16	1,2,3,4,5	85	2
14	00:16.097	1	16	5	0
15	00:16.114	1	16	43	0
16	00:16.116	16	1,2,3,4,5	5	2
17	00:16.150	13	6,7,8,9,10,12,14,15	27	4
18	00:18.997	16	1,2,3,4,5	97	2
19	00:19.341	4	2,3,5,7,8,9,10,11,16	102	4
20	00:19.345	16	1,2,3,4,5	5	2
21	00:20.734	3	2,4,5,6,7,8,9,10,16	102	4
22	00:20.738	16	1,2,3,4,5	5	2
23	00:21.084	4	2,3,5,7,8,9,10,11,16	102	4
24	00:21.088	16	1,2,3,4,5	5	2
25	00:21.876	1	16	97	0
26	00:21.988	2	3,4,5,6,7,8,9,16	102	3
27	00:21.992	16	1,2,3,4,5	5	2
28	00:22.457	3	2,4,5,6,7,8,9,10,16	102	4
29	00:22.461	16	1,2,3,4,5	5	2
30	00:22.783	2	3,4,5,6,7,8,9,16	102	3
31	00:22.787	16	1,2,3,4,5	5	2
32	00:22.942	5	2,3,4,8,9,10,11,16	102	3
33	00:22.946	16	1,2,3,4,5	5	2
34	00:24.007	3	2,4,5,6,7,8,9,10,16	102	4
35	00:24.011	16	1,2,3,4,5	5	2
36	00:24.430	2	3,4,5,6,7,8,9,16	102	3
37	00:24.434	16	1,2,3,4,5	5	2
38	00:24.626	3	2,4,5,6,7,8,9,10,16	102	4
39	00:24.630	16	1,2,3,4,5	5	2
40	00:24.975	4	2,3,5,7,8,9,10,11,16	102	4
41	00:24.979	16	1,2,3,4,5	5	2
42	00:25.228	4	2,3,5,7,8,9,10,11,16	102	4
43	00:25.232	16	1,2,3,4,5	5	2
44	00:25.672	7	2,3,4,6,8,9,10,12,13,14	27	2
45	00:26.032	5	2,3,4,8,9,10,11,16	102	3
46	00:26.036	16	1,2,3,4,5	5	2
47	00:26.054	16	1,2,3,4,5	97	2
