experiment,train_runs,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_seed_count,adaptation_runs,adaptation_seeds,test_seeds
adapt_0_static_blackhole_only,10,10,0.5,0,0.0,0,0,0.0,0,5,0,5,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seed_combo,12,8,0.5,0,0.0,0,0,0.0,0,4,0,4,1,2,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seed_combo,12,8,0.5,0,0.0,0,0,0.0,0,4,0,4,1,2,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seed_combo,12,8,0.5,0,0.0,0,0,0.0,0,4,0,4,1,2,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seed_combo,12,8,0.5,0,0.0,0,0,0.0,0,4,0,4,1,2,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seed_combo,12,8,0.5,0,0.0,0,0,0.0,0,4,0,4,1,2,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seed_combo,14,6,0.5,0,0.0,0,0,0.0,0,3,0,3,2,4,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,234567,456789","345678,567890"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seed_combo,16,4,0.5,0,0.0,0,0,0.0,0,2,0,2,3,6,"345678,456789,567890","123456,234567"
