run_id,mode,seed,reference_blackhole_seeds,reference_windows,reference_centre,decision_limit,pre_activation_alarm_window_s,post_activation_alarm_window_s,detection_delay_s,attack_detected_without_prealarm,control_false_alarm
SH_ATTACK_N16_SEED123456,attack,123456,"234567,345678,456789,567890",72,0.0,0.5,,240,0,1,0
SH_CONTROL_N16_SEED123456,control,123456,"234567,345678,456789,567890",72,0.0,0.5,,,,0,0
SH_ATTACK_N16_SEED234567,attack,234567,"123456,345678,456789,567890",72,0.0,0.5,,240,0,1,0
SH_CONTROL_N16_SEED234567,control,234567,"123456,345678,456789,567890",72,0.0,0.5,,,,0,0
SH_ATTACK_N16_SEED345678,attack,345678,"123456,234567,456789,567890",72,0.0,0.5,,240,0,1,0
SH_CONTROL_N16_SEED345678,control,345678,"123456,234567,456789,567890",72,0.0,0.5,,,,0,0
SH_ATTACK_N16_SEED456789,attack,456789,"123456,234567,345678,567890",72,0.0,0.5,,240,0,1,0
SH_CONTROL_N16_SEED456789,control,456789,"123456,234567,345678,567890",72,0.0,0.5,,,,0,0
SH_ATTACK_N16_SEED567890,attack,567890,"123456,234567,345678,456789",72,0.0,0.5,,240,0,1,0
SH_CONTROL_N16_SEED567890,control,567890,"123456,234567,345678,456789",72,0.0,0.5,,,,0,0
