No.	Time	From	To	Bytes	Interfered
1	00:03.643	1	16	97	0
2	00:05.027	16	1,2,3,4,5	102	2
3	00:05.031	1	16	5	0
4	00:07.451	16	1,2,3,4,5	102	2
5	00:07.455	1	16	5	0
6	00:08.991	16	1,2,3,4,5	102	2
7	00:08.995	1	16	5	0
8	00:09.214	16	1,2,3,4,5	102	2
9	00:09.218	1	16	5	0
10	00:10.777	1	16	97	0
11	00:12.806	16	1,2,3,4,5	85	2
12	00:12.809	1	16	5	0
13	00:12.817	1	16	43	0
14	00:12.819	16	1,2,3,4,5	5	2
15	00:15.289	16	1,2,3,4,5	97	2
16	00:15.376	5	2,3,4,8,9,10,11,16	102	3
17	00:15.380	16	1,2,3,4,5	5	2
18	00:15.687	5	2,3,4,8,9,10,11,16	102	3
19	00:15.691	16	1,2,3,4,5	5	2
20	00:17.526	3	2,4,5,6,7,8,9,10,16	102	4
21	00:17.530	16	1,2,3,4,5	5	2
22	00:18.111	3	2,4,5,6,7,8,9,10,16	102	4
23	00:18.115	16	1,2,3,4,5	5	2
24	00:18.620	3	2,4,5,6,7,8,9,10,16	27	4
25	00:18.625	5	2,3,4,8,9,10,11,16	102	3
26	00:18.629	16	1,2,3,4,5	5	2
27	00:18.683	4	2,3,5,7,8,9,10,11,16	102	4
28	00:18.687	16	1,2,3,4,5	5	2
29	00:18.856	3	2,4,5,6,7,8,9,10,16	102	4
30	00:18.860	16	1,2,3,4,5	5	2
31	00:18.870	2	3,4,5,6,7,8,9,16	102	3
32	00:18.874	16	1,2,3,4,5	5	2
33	00:18.959	4	2,3,5,7,8,9,10,11,16	102	4
34	00:18.963	16	1,2,3,4,5	5	2
35	00:19.216	5	2,3,4,8,9,10,11,16	102	3
36	00:19.220	16	1,2,3,4,5	5	2
37	00:19.227	7	2,3,4,6,8,9,10,12,13,14	27	2
38	00:19.467	4	2,3,5,7,8,9,10,11,16	102	4
39	00:19.471	16	1,2,3,4,5	5	2
40	00:19.976	9	2,3,4,5,6,7,8,10,11,12,13,14,15	27	1
41	00:20.035	10	3,4,5,7,8,9,11,13,14,15	27	2
42	00:20.466	2	3,4,5,6,7,8,9,16	102	3
43	00:20.470	16	1,2,3,4,5	5	2
44	00:21.565	16	1,2,3,4,5	97	2
45	00:21.615	1	16	97	0
46	00:22.135	14	7,8,9,10,11,12,13,15	27	4
47	00:22.371	2	3,4,5,6,7,8,9,16	102	3
48	00:22.375	16	1,2,3,4,5	5	2
49	00:22.636	4	2,3,5,7,8,9,10,11,16	102	4
50	00:22.640	16	1,2,3,4,5	5	2
51	00:22.804	3	2,4,5,6,7,8,9,10,16	102	4
52	00:22.808	16	1,2,3,4,5	5	2
53	00:23.008	13	6,7,8,9,10,12,14,15	27	4
54	00:23.452	6	2,3,7,8,9,12,13	27	2
55	00:24.174	2	3,4,5,6,7,8,9,16	102	3
56	00:24.178	16	1,2,3,4,5	5	2
57	00:24.483	5	2,3,4,8,9,10,11,16	93	3
58	00:24.486	16	1,2,3,4,5	5	2
59	00:24.516	16	1,2,3,4,5	94	2
60	00:24.519	1	16	5	0
61	00:24.550	1	16	51	0
62	00:24.552	16	1,2,3,4,5	5	2
63	00:24.561	16	1,2,3,4,5	60	2
64	00:24.563	5	2,3,4,8,9,10,11,16	5	3
65	00:25.524	12	6,7,8,9,13,14,15	27	3
66	00:26.715	5	2,3,4,8,9,10,11,16	97	3
67	00:26.781	2	3,4,5,6,7,8,9,16	93	3
68	00:26.784	16	1,2,3,4,5	5	2
69	00:26.788	16	1,2,3,4,5	94	2
70	00:26.791	1	16	5	0
71	00:26.823	1	16	51	0
72	00:26.825	16	1,2,3,4,5	5	2
73	00:26.835	16	1,2,3,4,5	60	2
74	00:26.837	2	3,4,5,6,7,8,9,16	5	3
75	00:27.086	10	3,4,5,7,8,9,11,13,14,15	102	2
76	00:27.090	5	2,3,4,8,9,10,11,16	5	3
77	00:27.479	4	2,3,5,7,8,9,10,11,16	93	4
78	00:27.482	16	1,2,3,4,5	5	2
79	00:27.491	16	1,2,3,4,5	94	2
80	00:27.494	1	16	5	0
81	00:27.509	1	16	51	0
82	00:27.511	16	1,2,3,4,5	5	2
83	00:27.514	16	1,2,3,4,5	60	2
84	00:27.517	4	2,3,5,7,8,9,10,11,16	5	4
85	00:27.730	16	1,2,3,4,5	97	2
86	00:28.430	9	2,3,4,5,6,7,8,10,11,12,13,14,15	102	1
87	00:28.434	5	2,3,4,8,9,10,11,16	5	3
88	00:28.587	3	2,4,5,6,7,8,9,10,16	93	4
89	00:28.590	16	1,2,3,4,5	5	2
90	00:28.598	16	1,2,3,4,5	94	2
91	00:28.601	1	16	5	0
92	00:28.607	1	16	51	0
93	00:28.609	16	1,2,3,4,5	5	2
94	00:28.612	16	1,2,3,4,5	60	2
95	00:28.615	3	2,4,5,6,7,8,9,10,16	5	4
96	00:29.261	10	3,4,5,7,8,9,11,13,14,15	102	2
97	00:29.265	5	2,3,4,8,9,10,11,16	5	3
98	00:29.680	8	2,3,4,5,6,7,9,10,11,12,13,14,15	27	1
99	00:29.745	4	2,3,5,7,8,9,10,11,16	97	4
100	00:29.911	5	2,3,4,8,9,10,11,16	56	3
101	00:29.913	16	1,2,3,4,5	5	2
102	00:29.918	16	1,2,3,4,5	57	2
103	00:29.920	1	16	5	0
104	00:29.936	1	16	56	0
105	00:29.938	16	1,2,3,4,5	5	2
106	00:29.938	8	2,3,4,5,6,7,9,10,11,12,13,14,15	102	1
107	00:29.943	5	2,3,4,8,9,10,11,16	5	3
108	00:29.948	16	1,2,3,4,5	65	2
